pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_eqt,st_rad,st_mass,st_logg,sy_dist,st_rotp
Kepler-189 c,1,2,Transit,2014,20.134866,2.38,0.429,22.7,488,0.75,0.79,4.62,591.534,
Kepler-190 b,1,2,Transit,2014,2.019999,1.56,1.21,3.05,962,0.8,0.86,4.56,433.387,14.6
Kepler-190 c,1,2,Transit,2014,3.763024,1.46,0.135,2.73,2039,0.8,0.86,4.56,433.387,14.03
Kepler-191 b,1,3,Transit,2014,9.939632,1.34,0.624,2.36,,0.79,0.81,4.59,594.464,14.03
Kepler-191 c,1,3,Transit,2014,17.738506,1.86,0.183,4.12,534,0.79,0.81,4.59,594.464,
Kepler-192 b,1,3,Transit,2014,9.926746,2.74,0.195,7.95,,1.01,0.94,4.43,651.674,
Kepler-192 c,1,3,Transit,2014,21.2234,2.79,0.123,8.2,,1.01,0.94,4.43,651.674,
Kepler-193 b,1,2,Transit,2014,11.38848,2.39,0.119,6.3,,1.15,1.14,4.4,1009.1,
Kepler-193 c,1,2,Transit,2014,50.697494,2.75,0.154,8,,1.15,1.14,4.4,1009.1,
Kepler-194 b,1,3,Transit,2014,2.092281,1.51,0.146,2.89,,1.02,1.09,4.42,1097.97,
Kepler-194 c,1,3,Transit,2014,17.308032,2.59,0.146,7.22,,1.02,1.09,4.42,1097.97,
Kepler-194 d,1,3,Transit,2014,52.814973,2.4,0.221,6.35,676,1.02,1.09,4.42,1097.97,
Kepler-195 b,1,2,Transit,2014,8.307872,2.03,0.178,4.78,,0.78,0.84,4.6,652.051,
Kepler-195 c,1,2,Transit,2014,34.096863,1.55,0.133,3.02,566,0.78,0.84,4.6,652.051,
Kepler-196 b,1,2,Transit,2014,20.739886,1.9,0.204,4.27,337,0.78,0.85,4.57,451.312,
Kepler-196 c,1,2,Transit,2014,47.427737,2.24,0.178,5.65,497,0.78,0.85,4.57,451.312,
Kepler-197 b,2,4,Transit,2014,5.599308,1.02,0.178,1.04,715,1.12,0.86,4.3,330.575,
Kepler-197 c,2,4,Transit,2014,10.349695,1.23,0.185,5.3,552,1.12,0.86,4.3,330.575,
Kepler-197 d,2,4,Transit,2014,15.677563,1.22,0.161,1.98,708,1.12,0.86,4.3,330.575,34.8
Kepler-197 e,2,4,Transit,2014,25.209715,0.91,0.232,0.693,583,1.12,0.86,4.3,330.575,34.8
Kepler-198 b,1,3,Transit,2014,17.790037,2.82,0.17,8.35,381,0.94,0.97,4.47,495.358,34.8
Kepler-198 c,1,3,Transit,2014,49.567416,2.47,0.103,6.66,1347,0.94,0.97,4.47,495.358,
Kepler-199 b,1,2,Transit,2014,23.637604,3.11,0.094,9.85,,0.97,0.96,4.44,521.054,
Kepler-199 c,1,2,Transit,2014,67.093408,3.25,0.236,10.6,794,0.97,0.96,4.44,521.054,
Kepler-200 b,1,2,Transit,2014,8.594805,2.13,0.114,5.18,948,0.94,0.98,4.45,665.912,
Kepler-200 c,1,2,Transit,2014,10.222157,1.59,0.202,3.15,684,0.94,0.98,4.45,665.912,
Kepler-201 b,1,2,Transit,2014,25.672083,2.46,0.18,6.62,658,1.23,1.18,4.29,636.445,
Kepler-201 c,1,2,Transit,2014,151.884058,2.85,0.227,8.5,485,1.23,1.18,4.29,636.445,
Kepler-202 b,1,2,Transit,2014,4.069427,1.63,0.284,3.29,,0.67,0.68,4.65,285.111,
Kepler-202 c,1,2,Transit,2014,16.282493,1.85,0.546,4.08,,0.67,0.68,4.65,285.111,
Kepler-203 b,1,3,Transit,2014,3.162697,2.57,0.128,7.13,631,1.11,1,4.36,703.302,
Kepler-203 c,1,3,Transit,2014,5.370647,2.47,0.22,749.9,,1.11,1,4.36,703.302,
Kepler-203 d,1,3,Transit,2014,11.32972,1.44,0.29,33.9,,1.11,1,4.36,703.302,
Kepler-204 b,1,2,Transit,2014,14.400974,2.53,0.114,6.94,,1.24,1.03,4.27,686.723,
Kepler-204 c,1,2,Transit,2014,25.660593,1.79,0.139,3.86,,1.24,1.03,4.27,686.723,
Kepler-205 b,1,2,Transit,2014,2.75564,1.51,0.236,2.89,,0.55,0.59,4.74,159.72,
Kepler-205 c,1,2,Transit,2014,20.306546,1.64,0.195,3.33,1140,0.55,0.59,4.74,159.72,
Kepler-206 b,1,3,Transit,2014,7.781987,1.2,0.252,1.87,,1.19,1.05,4.31,594.447,
Kepler-206 c,1,3,Transit,2014,13.137471,1.77,0.166,3.78,766,1.19,1.05,4.31,594.447,
Kepler-206 d,1,3,Transit,2014,23.44281,1.19,0.114,1.81,,1.19,1.05,4.31,594.447,
Kepler-207 b,1,3,Transit,2014,1.611865,1.57,0.199,3.09,487,1.59,1.04,4.13,875.519,
Kepler-207 c,1,3,Transit,2014,3.071571,1.5,0.127,2.86,,1.59,1.04,4.13,875.519,
Kepler-207 d,1,3,Transit,2014,5.868075,3.31,0.161,11,,1.59,1.04,4.13,875.519,
Kepler-208 b,1,4,Transit,2014,4.22864,1.63,0.24,3.29,,1.31,1.16,4.26,775.328,
Kepler-208 c,1,4,Transit,2014,7.466623,1.39,0.149,2.51,,1.31,1.16,4.26,775.328,
Kepler-208 d,1,4,Transit,2014,11.131786,1.2,0.286,1.87,,1.31,1.16,4.26,775.328,
Kepler-208 e,1,4,Transit,2014,16.259458,1.48,0.143,2.79,,1.31,1.16,4.26,775.328,
Kepler-209 b,1,2,Transit,2014,16.087845,2.26,0.232,5.73,455,0.94,0.93,4.47,576.946,
Kepler-209 c,1,2,Transit,2014,41.749882,3.1,0.182,9.8,,0.94,0.93,4.47,576.946,
Kepler-210 b,1,2,Transit,2014,2.453234,2.94,0.133,8.96,,0.65,0.77,4.66,232.75,
Kepler-210 c,1,2,Transit,2014,7.972513,3.62,0.189,12.8,,0.65,0.77,4.66,232.75,
Kepler-211 b,1,2,Transit,2014,4.138575,1.26,0.317,2.13,,0.82,0.9,4.55,309.353,
Kepler-211 c,1,2,Transit,2014,6.04045,1.29,0.224,18.3,,0.82,0.9,4.55,309.353,
Kepler-212 b,1,2,Transit,2014,16.257582,1.09,0.211,1.32,284,1.46,1.17,4.18,687.194,39.63
Kepler-212 c,1,2,Transit,2014,31.805174,2.74,0.236,7.95,363,1.46,1.17,4.18,687.194,38.6
Kepler-213 b,1,2,Transit,2014,2.46236,1.62,0.225,3.26,802,1.2,1.07,4.31,634.939,15.7
Kepler-213 c,1,2,Transit,2014,4.822962,2.34,0.253,6.08,962,1.2,1.07,4.31,634.939,
Kepler-214 b,1,2,Transit,2014,15.660544,2.61,0.241,7.32,982,1.35,1.11,4.25,1208.44,
Kepler-214 c,1,2,Transit,2014,28.7798,2.13,0.232,5.18,,1.35,1.11,4.25,1208.44,
Kepler-215 b,1,4,Transit,2014,9.360672,1.62,0.256,3.26,787,1.03,0.94,4.36,485.997,
Kepler-215 c,1,4,Transit,2014,14.667108,1.77,0.255,3.78,615,1.03,0.94,4.36,485.997,
Kepler-215 d,1,4,Transit,2014,30.864423,2.39,0.131,23.6,533,1.03,0.94,4.36,485.997,
Kepler-215 e,1,4,Transit,2014,68.16101,1.75,0.103,3.71,809,1.03,0.94,4.36,485.997,17.35
Kepler-216 b,1,2,Transit,2014,7.693641,2.35,0.213,6.12,477,1.26,1.11,4.28,1187.47,17.35
Kepler-216 c,1,2,Transit,2014,17.406669,3.04,0.283,9.48,,1.26,1.11,4.28,1187.47,
Kepler-217 b,1,3,Transit,2014,5.374943,2.23,0.116,5.6,1815,1.8,1.14,4.03,1104.64,
Kepler-217 c,1,3,Transit,2014,8.586004,1.85,0.161,4.08,1173,1.8,1.14,4.03,1104.64,
Kepler-218 b,1,3,Transit,2014,3.619337,1.48,0.283,2.79,865,1.06,1.02,4.39,656.38,
Kepler-218 c,1,3,Transit,2014,44.699576,3.14,0.212,10,698,1.06,1.02,4.39,656.38,
Kepler-219 b,1,3,Transit,2014,4.585512,2.95,0.12,9.01,1692,1.49,1.17,4.16,787.07,
Kepler-219 c,1,3,Transit,2014,22.714613,3.58,0.252,12.5,1026,1.49,1.17,4.16,787.07,
Kepler-219 d,1,3,Transit,2014,47.903645,2.81,0.136,19.1,1197,1.49,1.17,4.16,787.07,
Kepler-220 b,1,4,Transit,2014,4.159807,0.81,0.223,0.457,872,0.67,0.65,4.65,171.109,
Kepler-220 c,1,4,Transit,2014,9.034199,1.57,0.691,3.09,854,0.67,0.65,4.65,171.109,20.54
Kepler-220 d,1,4,Transit,2014,28.122397,0.98,0.434,0.904,745,0.67,0.65,4.65,171.109,20.54
Kepler-220 e,1,4,Transit,2014,45.902733,1.33,0.102,2.33,1252,0.67,0.65,4.65,171.109,20.4
Kepler-221 b,1,4,Transit,2014,2.795906,1.71,0.121,3.57,,0.82,0.82,4.54,385.231,
Kepler-221 c,1,4,Transit,2014,5.690586,2.93,0.098,15.1,,0.82,0.82,4.54,385.231,
Kepler-221 d,1,4,Transit,2014,10.04156,2.73,0.141,7.9,,0.82,0.82,4.54,385.231,
Kepler-221 e,1,4,Transit,2014,18.369917,2.63,0.136,7.41,939,0.82,0.82,4.54,385.231,
Kepler-222 b,1,3,Transit,2014,3.936981,3.16,0.352,10.1,739,0.87,0.88,4.55,758.854,
Kepler-222 c,1,3,Transit,2014,10.08881,4.64,0.325,19.4,,0.87,0.88,4.55,758.854,
Kepler-222 d,1,3,Transit,2014,28.081912,3.69,0.279,13.2,720,0.87,0.88,4.55,758.854,
Kepler-223 b,1,4,Transit,2014,7.38449,2.99,0.23,7.4,,1.72,1.12,4.46,1859.71,
Kepler-223 c,1,4,Transit,2014,9.84564,3.44,0.321,5.1,,1.72,1.12,4.46,1859.71,
Kepler-223 d,1,4,Transit,2014,14.78869,5.24,0.228,8,848,1.72,1.12,4.46,1859.71,
Kepler-223 e,1,4,Transit,2014,19.72567,4.6,0.374,4.8,716,1.72,1.12,4.46,1859.71,
Kepler-224 b,1,4,Transit,2014,3.132924,1.39,0.127,2.51,1230,0.68,0.82,4.64,782.088,
Kepler-224 c,1,4,Transit,2014,5.925003,3.12,0.218,9.91,943,0.68,0.82,4.64,782.088,
Kepler-224 d,1,4,Transit,2014,11.349393,2.3,0.167,5.9,861,0.68,0.82,4.64,782.088,
Kepler-224 e,1,4,Transit,2014,18.643577,1.97,0.248,4.54,653,0.68,0.82,4.64,782.088,
Kepler-225 b,1,2,Transit,2014,6.738975,1.2,0.122,1.87,,0.48,0.59,4.78,561.101,
Kepler-225 c,1,2,Transit,2014,18.794234,1.84,0.125,4.04,,0.48,0.59,4.78,561.101,
Kepler-226 b,1,3,Transit,2014,3.940997,1.55,0.293,24,,0.8,0.91,4.59,980.138,
Kepler-226 c,1,3,Transit,2014,5.349555,2.27,0.205,45.2,,0.8,0.91,4.59,980.138,
Kepler-226 d,1,3,Transit,2014,8.109044,1.22,0.122,1.98,,0.8,0.91,4.59,980.138,
Kepler-227 b,1,2,Transit,2014,9.488015,3.11,0.272,9.85,,1.09,0.92,4.4,1083.06,
Kepler-227 c,1,2,Transit,2014,54.418694,3.04,0.178,9.48,,1.09,0.92,4.4,1083.06,
Kepler-228 b,1,3,Transit,2014,2.566546,1.53,0.249,2.96,,1.01,0.95,4.47,1644.61,
Kepler-228 c,1,3,Transit,2014,4.134444,2.7,0.232,7.75,,1.01,0.95,4.47,1644.61,
Kepler-228 d,1,3,Transit,2014,11.094286,4.04,0.15,15.4,,1.01,0.95,4.47,1644.61,
Kepler-229 b,1,3,Transit,2014,6.252972,2.2,0.077,5.48,,0.73,0.8,4.63,826.265,
Kepler-229 c,1,3,Transit,2014,16.068638,4.92,0.164,21.5,500,0.73,0.8,4.63,826.265,
Kepler-229 d,1,3,Transit,2014,41.194912,3.85,0.222,14.2,420,0.73,0.8,4.63,826.265,
Kepler-23 d,1,3,Transit,2014,15.274299,2.2,0.073,17.6,,1.55,1.1,4.09,835.756,
Kepler-230 b,1,2,Transit,2014,32.625555,4.26,0.123,16.8,,0.82,0.84,4.55,740.754,
Kepler-230 c,1,2,Transit,2014,91.773242,2.04,0.225,4.82,542,0.82,0.84,4.55,740.754,
Kepler-231 b,1,2,Transit,2014,10.065275,1.73,0.135,35.4,,0.49,0.58,4.78,316.618,
Kepler-231 c,1,2,Transit,2014,19.271566,1.93,0.217,24.1,1006,0.49,0.58,4.78,316.618,
Kepler-232 b,1,2,Transit,2014,4.431222,3.08,0.189,9.69,,0.97,0.97,4.5,1349.13,
Kepler-232 c,1,2,Transit,2014,11.379349,3.83,0.156,14,1103,0.97,0.97,4.5,1349.13,
Kepler-233 b,1,2,Transit,2014,8.472382,2.43,0.319,6.48,,0.76,0.85,4.61,856.417,
Kepler-233 c,1,2,Transit,2014,60.418955,2.71,0.229,7.8,,0.76,0.85,4.61,856.417,
Kepler-234 b,1,2,Transit,2014,2.711506,3.7,0.12,13.2,,1.11,1.11,4.42,1733.1,
Kepler-234 c,1,2,Transit,2014,7.21205,3.51,0.128,12.1,,1.11,1.11,4.42,1733.1,
Kepler-235 b,1,4,Transit,2014,3.340222,2.23,0.23,5.6,,0.55,0.58,4.73,428.018,
Kepler-235 c,1,4,Transit,2014,7.824904,1.28,0.223,2.18,2100,0.55,0.58,4.73,428.018,
Kepler-235 d,1,4,Transit,2014,20.060548,2.05,0.213,4.86,758,0.55,0.58,4.73,428.018,
Kepler-235 e,1,4,Transit,2014,46.183669,2.22,0.15,5.56,,0.55,0.58,4.73,428.018,
Kepler-236 b,1,2,Transit,2014,8.295611,1.57,0.213,3.09,801,0.51,0.6,4.75,288.763,
Kepler-236 c,1,2,Transit,2014,23.968127,2,0.079,4.66,2271,0.51,0.6,4.75,288.763,
Kepler-237 b,1,2,Transit,2014,4.715106,1.41,0.14,2.57,1091,0.72,0.7,4.58,657.822,
Kepler-237 c,1,2,Transit,2014,8.103636,2.08,0.139,4.98,1002,0.72,0.7,4.58,657.822,
Kepler-238 b,1,5,Transit,2014,2.090876,1.73,0.215,3.64,764,1.43,1.06,4.19,1798.75,
Kepler-238 c,1,5,Transit,2014,6.155557,2.39,0.311,6.3,902,1.43,1.06,4.19,1798.75,
Kepler-238 d,1,5,Transit,2014,13.233549,3.07,0.137,9.64,1120,1.43,1.06,4.19,1798.75,
Kepler-239 b,1,2,Transit,2014,11.763051,2.33,0.149,6.04,,0.76,0.76,4.58,648.109,
Kepler-239 c,1,2,Transit,2014,56.228098,2.51,0.108,6.85,914,0.76,0.76,4.58,648.109,
Kepler-24 d,1,4,Transit,2014,4.244384,1.67,0.102,3.43,1818,1.29,0.98,4.2,1156.81,18.1
Kepler-24 e,1,4,Transit,2014,18.998355,2.78,0.181,8.15,750,1.29,0.98,4.2,1156.81,18.1
Kepler-240 b,1,2,Transit,2014,4.144495,1.37,0.175,2.45,1529,0.74,0.75,4.63,746.927,
Kepler-240 c,1,2,Transit,2014,7.953528,2.2,0.223,102.3,,0.74,0.75,4.63,746.927,
Kepler-241 b,1,2,Transit,2014,12.718092,2.33,1,6.04,1030,0.67,0.67,4.63,512,
Kepler-241 c,1,2,Transit,2014,36.065978,2.57,0.12,7.13,1121,0.67,0.67,4.63,512,9.75
Kepler-242 b,1,2,Transit,2014,8.20395,2.61,0.114,7.32,790,0.85,0.81,4.49,600.241,9.75
Kepler-242 c,1,2,Transit,2014,14.496481,2,0.21,4.66,523,0.85,0.81,4.49,600.241,9.75
Kepler-243 b,1,2,Transit,2014,5.715442,2.45,1.642,6.57,1838,0.84,0.83,4.57,693.86,5.07
Kepler-243 c,1,2,Transit,2014,20.026218,1.99,1.3,4.62,1587,0.84,0.83,4.57,693.86,
Kepler-244 b,1,3,Transit,2014,4.311792,2.76,0.098,8.05,502,0.8,0.96,4.58,1036.49,
Kepler-244 c,1,3,Transit,2014,9.767292,2.05,0.089,4.86,427,0.8,0.96,4.58,1036.49,
Kepler-244 d,1,3,Transit,2014,20.050401,2.31,0.098,15.2,399,0.8,0.96,4.58,1036.49,
Kepler-245 b,1,4,Transit,2014,7.49019,2.57,0.482,7.13,709,0.8,0.86,4.56,861.527,
Kepler-245 c,1,4,Transit,2014,17.460812,2.18,0.669,225.6,560,0.8,0.86,4.56,861.527,
Kepler-245 d,1,4,Transit,2014,36.277108,3.03,0.178,21.6,586,0.8,0.86,4.56,861.527,10.8
Kepler-246 b,1,2,Transit,2014,4.60182,2.34,0.161,6.08,389,0.83,0.79,4.56,626.078,10.8
Kepler-246 c,1,2,Transit,2014,11.187161,1.5,0.227,2.86,507,0.83,0.79,4.56,626.078,
Kepler-247 b,1,3,Transit,2014,3.33616,1.64,0.227,3.33,416,0.77,0.84,4.61,663.711,
Kepler-247 c,1,3,Transit,2014,9.439452,4.09,0.194,15.7,1035,0.77,0.84,4.61,663.711,
Kepler-247 d,1,3,Transit,2014,20.477912,3.94,0.179,14.7,801,0.77,0.84,4.61,663.711,
Kepler-248 b,1,2,Transit,2014,6.308205,3.02,0.156,9.38,638,0.83,0.9,4.57,738.792,
Kepler-248 c,1,2,Transit,2014,16.239494,4.07,0.387,15.6,923,0.83,0.9,4.57,738.792,
Kepler-249 b,1,3,Transit,2014,3.306539,1.09,0.311,1.32,977,0.48,0.51,4.78,190.401,
Kepler-249 c,1,3,Transit,2014,7.113702,1.51,0.189,2.89,979,0.48,0.51,4.78,190.401,
Kepler-249 d,1,3,Transit,2014,15.368459,1.57,0.195,3.09,688,0.48,0.51,4.78,190.401,
Kepler-25 d,2,3,Radial Velocity,2014,122.4,10,0.229,71.9,886,1.32,1.17,4.28,243.249,
Kepler-250 b,1,3,Transit,2014,4.148141,1.13,0.249,1.51,1061,0.81,0.83,4.57,760.585,
Kepler-250 c,1,3,Transit,2014,7.156804,2.28,0.306,5.82,,0.81,0.83,4.57,760.585,
Kepler-250 d,1,3,Transit,2014,17.648312,2.18,0.218,5.39,958,0.81,0.83,4.57,760.585,
Kepler-251 b,1,4,Transit,2014,4.790936,1.33,0.21,2.33,437,0.89,0.95,4.49,924.625,
Kepler-251 c,1,4,Transit,2014,16.514043,2.77,0.155,8.1,639,0.89,0.95,4.49,924.625,
Kepler-251 d,1,4,Transit,2014,30.133001,2.77,1.13,8.1,1238,0.89,0.95,4.49,924.625,
Kepler-251 e,1,4,Transit,2014,99.640161,2.77,0.145,8.1,791,0.89,0.95,4.49,924.625,
Kepler-252 b,1,2,Transit,2014,6.668391,1.23,0.195,2.04,551,0.55,0.61,4.72,379.424,
Kepler-252 c,1,2,Transit,2014,10.848463,2.15,0.259,5.27,1034,0.55,0.61,4.72,379.424,
Kepler-253 b,1,3,Transit,2014,3.783986,1.63,0.235,3.29,845,0.79,0.85,4.59,838.595,
Kepler-253 c,1,3,Transit,2014,10.281951,2.65,0.074,7.51,789,0.79,0.85,4.59,838.595,
Kepler-253 d,1,3,Transit,2014,18.119869,3.17,0.268,10.2,831,0.79,0.85,4.59,838.595,
Kepler-254 b,1,3,Transit,2014,5.826662,3.87,0.207,14.3,795,0.91,0.93,4.52,1389.48,
Kepler-254 c,1,3,Transit,2014,12.412183,2.15,0.238,3.2,430,0.91,0.93,4.52,1389.48,
Kepler-254 d,1,3,Transit,2014,18.746477,2.5,1.552,6.8,1957,0.91,0.93,4.52,1389.48,
Kepler-255 b,1,3,Transit,2014,5.714606,1.55,0.85,3.02,1080,0.93,0.87,4.52,1052.53,
Kepler-255 c,1,3,Transit,2014,9.946047,2.99,0.215,9.22,470,0.93,0.87,4.52,1052.53,
Kepler-256 b,1,4,Transit,2014,1.620493,1.59,0.199,3.15,496,1.3,0.97,4.22,1026.43,22.2
Kepler-256 c,1,4,Transit,2014,3.38802,2.15,0.238,5.27,331,1.3,0.97,4.22,1026.43,22.2
Kepler-256 d,1,4,Transit,2014,5.839172,2.48,0.153,6.71,,1.3,0.97,4.22,1026.43,
Kepler-256 e,1,4,Transit,2014,10.681572,2.35,0.294,6.12,1515,1.3,0.97,4.22,1026.43,
Kepler-257 b,1,3,Transit,2014,2.382667,2.61,0.063,7.32,664,1.04,0.85,4.36,780.256,
Kepler-257 c,1,3,Transit,2014,6.581484,5.41,0.261,25.2,538,1.04,0.85,4.36,780.256,
Kepler-257 d,1,3,Transit,2014,24.664551,4.95,0.244,21.7,490,1.04,0.85,4.36,780.256,
Kepler-258 b,1,2,Transit,2014,13.19722,4.06,0.134,15.5,1136,0.92,0.82,4.44,575.988,24.87
Kepler-258 c,1,2,Transit,2014,33.653079,3.61,0.24,12.7,696,0.92,0.82,4.44,575.988,24.87
Kepler-259 b,1,2,Transit,2014,8.115317,2.8,0.133,8.25,888,0.9,0.93,4.53,1002.14,24.87
Kepler-259 c,1,2,Transit,2014,36.924931,2.7,0.119,7.75,801,0.9,0.93,4.53,1002.14,24.87
Kepler-26 d,1,4,Transit,2014,3.543919,1.07,0.199,1.24,492,0.57,0.62,4.73,335.307,24.87
Kepler-26 e,1,4,Transit,2014,46.827915,2.41,0.14,6.39,1429,0.57,0.62,4.73,335.307,
Kepler-260 b,1,2,Transit,2014,8.187399,2.01,0.4,4.7,902,0.86,0.92,4.49,627.365,
Kepler-260 c,1,2,Transit,2014,76.050178,1.74,0.123,3.68,1203,0.86,0.92,4.49,627.365,
Kepler-261 b,1,2,Transit,2014,10.381227,2.18,0.263,5.39,848,0.79,0.88,4.56,317.499,
Kepler-261 c,1,2,Transit,2014,24.570858,2,0.649,4.66,893,0.79,0.88,4.56,317.499,
Kepler-262 b,1,2,Transit,2014,13.060855,1.36,0.279,2.42,747,0.88,0.99,4.54,613.129,
Kepler-262 c,1,2,Transit,2014,21.853722,1.64,0.272,3.33,849,0.88,0.99,4.54,613.129,
Kepler-263 b,1,2,Transit,2014,16.568087,2.67,0.186,7.61,655,0.79,0.8,4.58,754.747,
Kepler-263 c,1,2,Transit,2014,47.332773,2.47,0.209,6.66,1166,0.79,0.8,4.58,754.747,
Kepler-264 b,1,2,Transit,2014,40.806231,3.33,0.197,11.1,653,1.55,1.46,4.15,942.173,
Kepler-264 c,1,2,Transit,2014,140.101261,2.83,0.336,8.4,583,1.55,1.46,4.15,942.173,
Kepler-265 b,1,4,Transit,2014,6.846262,1.86,0.185,4.12,958,1.1,0.98,4.33,1280.25,
Kepler-265 c,1,4,Transit,2014,17.028937,2.63,0.266,7.41,1711,1.1,0.98,4.33,1280.25,
Kepler-265 d,1,4,Transit,2014,43.130617,2.49,0.108,6.76,879,1.1,0.98,4.33,1280.25,
Kepler-265 e,1,4,Transit,2014,67.831024,2.59,0.207,7.22,568,1.1,0.98,4.33,1280.25,
Kepler-266 b,1,2,Transit,2014,6.61833,2.48,0.669,6.71,787,1.03,0.95,4.45,1370.79,
Kepler-266 c,1,2,Transit,2014,107.723601,3.89,0.73,14.4,665,1.03,0.95,4.45,1370.79,
Kepler-267 b,1,3,Transit,2014,3.353728,1.98,0.252,37.9,1057,0.56,0.54,4.73,264.993,
Kepler-267 c,1,3,Transit,2014,6.87745,2.13,0.314,5.18,1186,0.56,0.54,4.73,264.993,
Kepler-267 d,1,3,Transit,2014,28.464515,2.27,0.248,5.77,653,0.56,0.54,4.73,264.993,8.88
Kepler-268 b,1,2,Transit,2014,25.934138,2.55,0.231,7.04,1089,1.27,1.13,4.29,851.87,
Kepler-268 c,1,2,Transit,2014,83.446393,3.38,0.315,11.4,741,1.27,1.13,4.29,851.87,
Kepler-269 b,1,2,Transit,2014,5.326718,2.47,0.221,6.66,620,0.96,0.92,4.5,2257.32,
Kepler-269 c,1,2,Transit,2014,8.127899,1.69,0.174,3.5,501,0.96,0.92,4.5,2257.32,
Kepler-270 b,1,2,Transit,2014,11.476094,2.01,0.187,4.7,347,1.46,1.17,4.2,948.781,23.8
Kepler-270 c,1,2,Transit,2014,25.262887,1.77,0.847,3.78,804,1.46,1.17,4.2,948.781,
Kepler-271 b,1,3,Transit,2014,10.43547805,1.23,0.17,2.04,226,0.87,0.9,4.52,404.542,
Kepler-271 c,1,3,Transit,2014,7.41086267,0.95,0.812,0.809,753,0.87,0.9,4.52,404.542,
Kepler-272 b,1,3,Transit,2014,2.971353,1.43,1.19,78,1171,0.93,0.86,4.43,889.608,10.79
Kepler-272 c,1,3,Transit,2014,6.057342,1.79,0.273,97.8,1230,0.93,0.86,4.43,889.608,
Kepler-272 d,1,3,Transit,2014,10.937304,2.25,1.006,5.69,676,0.93,0.86,4.43,889.608,
Kepler-273 b,1,2,Transit,2014,2.936532,1.5,0.142,2.86,,0.81,0.94,4.51,713.964,
Kepler-273 c,1,2,Transit,2014,8.014927,1.98,0.235,4.58,795,0.81,0.94,4.51,713.964,
Kepler-274 b,1,2,Transit,2014,11.634788,1.54,0.219,2.99,750,1.01,1.08,4.44,1333.62,
Kepler-274 c,1,2,Transit,2014,33.197861,1.84,0.148,4.04,1425,1.01,1.08,4.44,1333.62,
Kepler-275 b,1,3,Transit,2014,10.300682,2.34,0.897,6.08,852,1.38,1.16,4.23,2034.25,
Kepler-275 c,1,3,Transit,2014,16.088134,3.38,0.177,11.4,504,1.38,1.16,4.23,2034.25,40
Kepler-275 d,1,3,Transit,2014,35.676062,3.33,0.139,11.1,374,1.38,1.16,4.23,2034.25,40
Kepler-276 b,1,3,Transit,2014,14.12841,2.87,0.136,8.6,282,1.05,1.04,4.45,1144.86,40
Kepler-278 b,1,2,Transit,2014,30.160546,4.07,1.039,15.6,1092,2.94,1.08,3.62,443.03,
Kepler-278 c,1,2,Transit,2014,51.078775,3.59,0.884,12.6,,2.94,1.08,3.62,443.03,
Kepler-279 b,1,3,Transit,2014,12.309681,3.62,1.06,12.8,,1.75,1.16,4.05,1037.4,18.38
Kepler-280 b,1,2,Transit,2014,2.139542,1.45,0.085,2.7,460,0.89,0.96,4.54,780.361,
Kepler-280 c,1,2,Transit,2014,4.807091,2.01,0.119,4.7,841,0.89,0.96,4.54,780.361,
Kepler-281 b,1,2,Transit,2014,14.646008,2.82,0.163,8.35,423,0.9,0.95,4.53,1745.45,
Kepler-281 c,1,2,Transit,2014,36.337373,5.31,0.261,24.4,432,0.9,0.95,4.53,1745.45,
Kepler-282 b,1,4,Transit,2014,9.220524,1.01,0.148,1.01,456,0.9,0.79,4.46,1337.61,
Kepler-282 c,1,4,Transit,2014,13.638723,1.2,0.249,1.87,641,0.9,0.79,4.46,1337.61,
Kepler-283 b,1,2,Transit,2014,11.008151,2.13,0.473,5.18,837,0.57,0.6,4.72,468.094,
Kepler-283 c,1,2,Transit,2014,92.743711,1.82,0.28,3.97,634,0.57,0.6,4.72,468.094,
Kepler-284 b,1,2,Transit,2014,12.699149,2.24,0.311,5.65,550,0.81,0.92,4.58,1031.95,
Kepler-284 c,1,2,Transit,2014,37.514456,2.61,0.108,7.32,1066,0.81,0.92,4.58,1031.95,
Kepler-285 b,1,2,Transit,2014,2.633867,1.34,0.234,2.36,698,0.81,0.82,4.58,824.31,
Kepler-285 c,1,2,Transit,2014,6.186676,1.12,0.174,1.46,701,0.81,0.82,4.58,824.31,
Kepler-286 b,1,4,Transit,2014,1.796302,1.24,0.171,2.07,635,0.86,0.96,4.5,1226.85,
Kepler-286 c,1,4,Transit,2014,3.468095,1.37,0.187,2.45,318,0.86,0.96,4.5,1226.85,
Kepler-286 d,1,4,Transit,2014,5.914323,1.33,0.217,2.33,707,0.86,0.96,4.5,1226.85,
Kepler-286 e,1,4,Transit,2014,29.221289,1.77,0.196,3.78,423,0.86,0.96,4.5,1226.85,
Kepler-287 b,1,2,Transit,2014,20.342199,2.33,0.203,6.04,1114,1.03,0.97,4.4,835.86,
Kepler-287 c,1,2,Transit,2014,44.851896,3.26,0.774,10.7,650,1.03,0.97,4.4,835.86,
Kepler-288 b,1,3,Transit,2014,6.097326,1.67,0.45,3.43,850,1.09,1.03,4.35,1194.15,6.29
Kepler-288 c,1,3,Transit,2014,19.305772,2.85,0.247,8.5,969,1.09,1.03,4.35,1194.15,
