pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_eqt,st_rad,st_mass,st_logg,sy_dist,st_rotp
HD 23079 b,1,1,Radial Velocity,2001,730.59998,13.2,1.16,829.5363,,1.07,1.12,4.43,33.4591,
HD 28185 b,1,1,Radial Velocity,2001,379,12.8,0.23,1875.197,546,1.03,1.02,4.42,39.3809,
HD 39091 b,1,2,Radial Velocity,2001,2093.07,12.3,1.21,4099.98645,,1.1,1.09,4.42,18.2702,
HD 4203 b,1,2,Radial Velocity,2001,431.88,13.3,1.24,708.7609,,1.42,1.25,4.23,81.3795,
HD 4208 b,1,1,Radial Velocity,2001,832.97,13.9,1.2,257.4423,,0.85,0.88,4.5,34.1937,746
HD 68988 b,1,2,Radial Velocity,2001,6.27711,13.4,1.21,626.1251,,1.19,1.28,4.4,60.8447,
HD 80606 b,2,1,Radial Velocity,2001,111.4367,11.994,1.25,1392.0954,,1.04,1.15,4.42,66.4711,
14 Her b,1,2,Radial Velocity,2002,1773.40002,12.9,1.16,1481.0878,,0.93,0.9,4.45,17.9323,
55 Cnc d,2,5,Radial Velocity,2002,5574.2,13,1.07,1232.493,,0.94,0.91,4.43,12.5855,
HD 106252 b,1,1,Radial Velocity,2002,1531,12.7,0.254,2202.5619,,1.1,1.01,4.36,38.185,
HD 108147 b,1,1,Radial Velocity,2002,10.8985,10.9,0.747,82.95,,1.21,1.22,4.36,38.92,
HD 108874 b,1,2,Radial Velocity,2002,394.48123,13.6,0.322,451.3186,,1.05,1.1,4.44,59.5175,
HD 114729 b,2,1,Radial Velocity,2002,1121.79,13.9,1.11,262.20975,,1.47,0.94,4.05,37.8063,
HD 12661 c,1,2,Radial Velocity,2002,1708,13.4,1.26,575.884,,1.11,1.02,4.32,37.8478,
HD 128311 b,1,2,Radial Velocity,2002,453.019,13.5,1.25,562.24127,,0.76,0.83,4.61,16.3292,25
HD 141937 b,1,1,Radial Velocity,2002,653.21997,12.5,0.36,3079.7727,,1.03,1.09,4.45,33.3622,25
HD 162020 b,1,1,Radial Velocity,2002,8.4282,12.5,1.11,3127.4472,,0.75,0.42,4.31,30.8248,
