Object,CA_Date,CADistanceNominal,CADistanceMinimum,Vrelative,Vinfinity,H(mag),Diameter,
(2018 LU2),2022-Jun-09 05:01 ± 1_07:18,14.73 | 0.03785,7.50 | 0.01926,10.73,10.72,26.8,12 m -   26 m,bK18L02U
(2006 XW4),2022-Jun-12 04:48 ± 7_01:25,5.85 | 0.01504,2.45 | 0.00629,7.27,7.25,24.3,37 m -   82 m,bK06X04W
(2015 WP2),2022-Jun-26 07:55 ± 6_22:31,18.42 | 0.04733,6.56 | 0.01686,11.35,11.35,30.1,2.5 m -  5.7 m,bK15W02P
(2015 OQ21),2022-Jul-12 01:44 ±   �00:15,18.26 | 0.04692,18.25 | 0.04689,6.57,6.56,27.9,7.0 m -   16 m,bK15O21Q
(2021 OT),2022-Jul-17 23:59 ±   �00:15,16.43 | 0.04221,15.26 | 0.03922,11.25,11.24,26.2,15 m -   34 m,bK21O00T
349068 (2006 YT13),2022-Jul-19 22:42 ± < 00:01,17.58 | 0.04518,17.58 | 0.04517,22.94,22.94,18.3,496 m - 496 m,a0349068
(2017 RX2),2022-Jul-24 10:29 ±   �00:15,17.66 | 0.04537,13.79 | 0.03545,14.26,14.26,26.4,14 m -   31 m,bK17R02X
(2016 CZ31),2022-Jul-29 14:40 ± 4_20:27,7.00 | 0.01798,6.97 | 0.01791,15.58,15.57,22.2,97 m -  220 m,bK16C31Z
531944 (2013 CU83),2022-Jul-30 23:36 ±   �00:15,18.10 | 0.04651,18.09 | 0.04649,5.88,5.87,21.4,140 m -  310 m,a0531944
(2020 PP1),2022-Aug-01 16:58 ± < 00:01,13.07 | 0.03359,13.07 | 0.03359,3.72,3.69,26.6,13 m -   28 m,bK20P01P
(2020 PN1),2022-Aug-03 15:44 ± < 00:01,9.67 | 0.02485,9.67 | 0.02485,4.61,4.59,25.5,21 m -   48 m,bK20P01N
(2015 FF),2022-Aug-12 08:09 ± 5_01:41,11.14 | 0.02864,10.45 | 0.02685,9.17,9.16,26.6,13 m -   28 m,bK15F00F
(2019 AV13),2022-Aug-22 00:25 ± 6_21:16,19.07 | 0.04900,14.50 | 0.03727,8.84,8.84,22.1,100 m -  230 m,bK19A13V
(2020 QW3),2022-Aug-22 01:11 ± 1_22:13,14.03 | 0.03605,6.23 | 0.01602,18.07,18.07,25.4,22 m -   49 m,bK20Q03W
(2015 QH3),2022-Aug-22 22:23 ± 2_23:34,5.60 | 0.01439,5.15 | 0.01323,7,6.98,27,11 m -   24 m,bK15Q03H
(2017 BU),2022-Aug-29 16:35 ±   �00:15,15.75 | 0.04047,15.75 | 0.04046,7,6.99,25.2,24 m -   54 m,bK17B00U
(2021 CQ5),2022-Sep-01 12:42 ±   �00:15,8.71 | 0.02238,8.34 | 0.02144,13.55,13.54,28.6,5.1 m -   11 m,bK21C05Q
(2016 HF2),2022-Sep-29 05:16 ±   �00:15,19.10 | 0.04909,18.69 | 0.04803,5.55,5.54,26.1,16 m -   36 m,bK16H02F
(2018 ER1),2022-Oct-02 15:42 ±   �00:15,14.68 | 0.03772,14.54 | 0.03735,4.03,4.01,25.6,20 m -   45 m,bK18E01R
(2018 VG),2022-Oct-05 12:06 ± 1_14:55,18.42 | 0.04733,18.17 | 0.04668,6.67,6.66,27.4,8.8 m -   20 m,bK18V00G
(2006 SG7),2022-Oct-07 03:36 ± 5_17:12,16.59 | 0.04264,7.19 | 0.01848,18.45,18.44,22.9,70 m -  160 m,bK06S07G
(2013 TJ6),2022-Oct-07 19:47 ± 8_09:52,11.68 | 0.03001,11.64 | 0.02991,14.37,14.36,25.2,24 m -   54 m,bK13T06J
(2013 SL20),2022-Oct-14 03:36 ± 4_03:34,6.13 | 0.01575,6.13 | 0.01575,12.08,12.07,24.5,33 m -   75 m,bK13S20L
(2020 TO2),2022-Oct-15 23:03 ± 4_12:04,1.39 | 0.00358,1.26 | 0.00323,12.58,12.52,26.4,14 m -   31 m,bK20T02O
(2020 BD),2022-Oct-16 01:14 ± 9_12:35,12.04 | 0.03094,11.95 | 0.03070,11.4,11.39,26.3,15 m -   33 m,bK20B00D
(2016 TH94),2022-Oct-25 21:45 ± < 00:01,19.01 | 0.04884,19.01 | 0.04884,13.53,13.53,24.6,32 m -   71 m,bK16T94H
(2004 UT1),2022-Oct-29 07:55 ±   �00:15,3.95 | 0.01015,2.31 | 0.00593,6.35,6.31,26.6,13 m -   28 m,bK04U01T
(2021 VH),2022-Nov-01 02:30 ±   �00:15,5.90 | 0.01515,5.84 | 0.01501,5.25,5.22,29.6,3.2 m -  7.1 m,bK21V00H
(2020 WD),2022-Nov-08 13:04 ± 8_13:41,3.00 | 0.00770,1.40 | 0.00360,5.95,5.89,28.2,6.1 m -   14 m,bK20W00D
(2019 XS),2022-Nov-10 18:24 ± < 00:01,16.67 | 0.04282,16.67 | 0.04282,11.87,11.86,24,43 m -   96 m,bK19X00S
(2019 VL5),2022-Nov-15 22:22 ± < 00:01,8.45 | 0.02171,8.45 | 0.02171,8.14,8.12,25.9,18 m -   40 m,bK19V05L
(2018 WH),2022-Nov-16 19:27 ± 1_19:35,2.49 | 0.00641,0.38 | 0.00096,7.73,7.68,29.8,2.9 m -  6.5 m,bK18W00H
(2019 OR1),2022-Nov-21 02:28 ± < 00:01,18.00 | 0.04625,18.00 | 0.04625,13.38,13.38,21,170 m -  380 m,bK19O01R
(2005 LW3),2022-Nov-23 10:06 ± < 00:01,2.97 | 0.00762,2.96 | 0.00761,13.49,13.47,21.6,130 m -  280 m,bK05L03W
