pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_logg,st_loggerr1,st_loggerr2,st_logglim
HD 73526 b,HD 73526,1,2,Radial Velocity,2002,Anglo-Australian Telescope,188.3,0.9,-0.9,0,13.1,,,0,978.9164,98.5273,-98.5273,0,,,,,,,,,0,5601,24,-24,0,1.53,0.03,-0.03,0,1.14,0.15,-0.15,0,4.12,0.05,-0.05,0
HD 73526 c,HD 73526,1,2,Radial Velocity,2005,Anglo-Australian Telescope,379.1,0.5,-0.5,0,13.3,,,0,715.09,41.32,-41.32,0,,,,,,,,,0,5633,15,-15,0,1.53,0.03,-0.03,0,1.01,0.05,-0.05,0,4.2,0.04,-0.04,0
HD 73534 b,HD 73534,1,1,Radial Velocity,2008,W. M. Keck Observatory,1750,24,-24,0,13.7,,,0,353.42696,18.75197,-18.75197,0,,,,,,,,,0,4917,,,0,2.58,,,0,1.16,,,0,3.6,,,0
HD 74156 b,HD 74156,1,2,Radial Velocity,2003,Haute-Provence Observatory,51.645,0.003,-0.003,0,13.4,,,0,572.07,19.07,-19.07,0,,,,,,,,,0,6068,44,-44,0,1.51,0.03,-0.03,0,1.24,0.04,-0.04,0,4.14,0.03,-0.03,0
HD 74156 c,HD 74156,1,2,Radial Velocity,2003,Haute-Provence Observatory,2473,13,-13,0,12.6,,,0,2561.6,117.59,-117.59,0,,,,,,,,,0,6068,44,-44,0,1.51,0.03,-0.03,0,1.24,0.04,-0.04,0,4.14,0.03,-0.03,0
HD 7449 b,HD 7449,2,1,Radial Velocity,2011,La Silla Observatory,1255.5,5.1,-5.1,0,14.2,,,0,161.45764,35.27913,-35.27913,0,,,,,,,,,0,6024,,,0,0.97,0.02,-0.02,0,1.05,,,0,4.51,,,0
HD 75289 b,HD 75289,2,1,Radial Velocity,1999,La Silla Observatory,3.50927,0.000064,-0.000064,0,14.2,,,0,155.7367,9.5349,-9.5349,0,,,,,1260,,,0,0,6117,16,-16,0,1.23,0.02,-0.02,0,1.29,0.1,-0.1,0,4.37,0.03,-0.03,0
HD 75784 b,HD 75784,1,2,Radial Velocity,2014,W. M. Keck Observatory,341.2,1.1,-1.1,0,13.8,,,0,317.83,44.4962,-44.4962,0,,,,,,,,,0,4867,,,0,3.4,,,0,1.26,,,0,3.46,,,0
HD 75784 c,HD 75784,1,2,Radial Velocity,2018,W. M. Keck Observatory,7900,2000,-2000,0,12.8,,,0,1792.5612,228.8376,-228.8376,0,,,,,,,,,0,4867,,,0,3.4,,,0,1.26,,,0,3.46,,,0
HD 75898 b,HD 75898,1,1,Radial Velocity,2007,W. M. Keck Observatory,422.9,0.29,-0.29,0,13.2,,,0,861.3193,114.4188,-114.4188,0,,,,,,,,,0,5963,,,0,1.58,0.11,-0.11,0,1.26,0.23,-0.23,0,4.21,0.07,-0.07,0
HD 76700 b,HD 76700,1,1,Radial Velocity,2002,Anglo-Australian Telescope,3.97097,0.00023,-0.00023,0,9.6,,,0,66.7443,9.5349,-9.5349,0,,,,,,,,,0,5644,33,-33,0,1.37,0.03,-0.03,0,0.99,0.17,-0.17,0,4.16,0.07,-0.07,0
HD 76920 b,HD 76920,1,1,Radial Velocity,2017,Multiple Observatories,415.4,0.2,-0.2,0,13,,,0,1249.0719,44.4962,-47.6745,0,,,,,,,,,0,4698,100,-100,0,7.47,0.6,-0.6,0,1.17,0.2,-0.2,0,2.94,0.15,-0.15,0
HD 77338 b,HD 77338,1,1,Radial Velocity,2012,La Silla Observatory,5.7361,0.0015,-0.0015,0,4.12,,,0,15.9,4.7,-5.3,0,,,,,,,,,0,5341,31,-31,0,0.97,0.02,-0.02,0,1.37,0.32,-0.32,0,4.6,0.1,-0.1,0
HD 7924 b,HD 7924,1,3,Radial Velocity,2008,W. M. Keck Observatory,5.39792,0.00025,-0.00025,0,2.4,,,0,6.3566,0,0,0,113.7,3.7,-3.6,0,826,7,-6,0,0,5131,14,-14,0,0.78,0.01,-0.01,0,0.65,0.05,-0.05,0,4.46,0.03,-0.03,0
HD 7924 c,HD 7924,1,3,Radial Velocity,2015,W. M. Keck Observatory,15.299,0.0032,-0.0033,0,2.72,,,0,7.86,0.73,-0.71,0,28.35,0.92,-0.89,0,584,5,-5,0,0,5075,83,-83,0,0.78,0.03,-0.03,0,0.83,0.02,-0.04,0,4.59,0.02,-0.03,0
HD 7924 d,HD 7924,1,3,Radial Velocity,2015,W. M. Keck Observatory,24.451,0.015,-0.017,0,2.42,,,0,6.44,0.79,-0.78,0,15.17,0.49,-0.48,0,499,4,-4,0,0,5075,83,-83,0,0.78,0.03,-0.03,0,0.83,0.02,-0.04,0,4.59,0.02,-0.03,0
HD 79498 b,HD 79498,2,1,Radial Velocity,2011,McDonald Observatory,1807,15,-15,0,13.6,,,0,425.8922,66.7443,-66.7443,0,,,,,,,,,0,5748,,,0,1.05,0.04,-0.04,0,1.08,0.15,-0.15,0,4.37,0.12,-0.12,0
HD 80606 b,HD 80606,2,1,Radial Velocity,2001,Multiple Observatories,111.4367,0.0004,-0.0004,0,11.994,0.336,-0.336,0,1392.0954,235.1942,-235.1942,0,,,,,405,7,-7,0,0,5561,24,-24,0,1.04,0.02,-0.02,0,1.15,0.27,-0.27,0,4.42,0.02,-0.02,0
HD 80653 b,HD 80653,1,1,Transit,2020,K2,0.719573,0.000021,-0.000021,0,1.613,0.071,-0.071,0,5.6,0.43,-0.43,0,,,,,,,,,0,6080,130,-130,0,1.22,0.01,-0.01,0,1.18,0.04,-0.04,0,4.34,0.02,-0.02,0
HD 80869 b,HD 80869,1,1,Radial Velocity,2021,Haute-Provence Observatory,1711.7,9.3,-9.6,0,12.9,,,0,1544.64606,206.58846,-92.17024,0,0.14,0.01,-0.01,0,203,7,-6,0,0,5837,15,-15,0,1.06,0.04,-0.04,0,1.08,0.05,-0.05,0,4.18,0.03,-0.03,0
HD 81040 b,HD 81040,1,1,Radial Velocity,2005,Multiple Observatories,1001.70001,7,-7,0,12.6,,,0,2310.6241,311.4734,-311.4734,0,,,,,,,,,0,5755,20,-20,0,0.91,0.01,-0.01,0,1.05,0.19,-0.19,0,4.54,0.08,-0.08,0
HD 81688 b,HD 81688,1,1,Radial Velocity,2007,Okayama Astrophysical Observatory,184.02,0.18,-0.18,0,13.2,,,0,858.1,,,0,,,,,,,,,0,4753,15,-15,0,13,,,0,2.1,,,0,2.22,0.05,-0.05,0
HD 81817 b,HD 81817,1,1,Radial Velocity,2020,Bohyunsan Optical Astronomical Observatory,1047.1,8.5,-8.5,0,11.9,,,0,8613.193,667.443,-667.443,0,,,,,,,,,0,4140,55,-55,0,83.8,7.8,-7.8,0,4.3,0.5,-0.5,0,1.3,0.2,-0.2,0
HD 82886 b,HD 82886,1,1,Radial Velocity,2011,W. M. Keck Observatory,705,34,-34,0,13.3,,,0,740.5439,104.8839,-104.8839,0,,,,,,,,,0,4953,123,-123,0,5.26,0.31,-0.31,0,2.53,0.46,-0.46,0,3.4,0.06,-0.06,0
HD 82943 b,HD 82943,1,2,Radial Velocity,2003,La Silla Observatory,441.47,0.35,-0.35,0,13.5,,,0,534.25,8.899,-8.899,0,,,,,,,,,0,5935,124.44,-144.14,0,1.18,0.07,-0.05,0,1.08,0.12,-0.15,0,4.33,0.09,-0.07,0
HD 82943 c,HD 82943,1,2,Radial Velocity,2003,La Silla Observatory,220.078,0.051,-0.051,0,13.4,,,0,622.603,14.937,-14.937,0,,,,,,,,,0,5935,124.44,-144.14,0,1.18,0.07,-0.05,0,1.08,0.12,-0.15,0,4.33,0.09,-0.07,0
HD 8326 b,HD 8326,1,1,Radial Velocity,2019,Las Campanas Observatory,158.991,1.44,-1.44,0,9.58,,,0,66.6,19.6,-19.6,0,,,,,,,,,0,4914,51,-32,0,0.78,0.01,-0.02,0,0.8,0.05,-0.05,0,4.55,0.07,-0.12,0
HD 83443 b,HD 83443,1,1,Radial Velocity,2002,Multiple Observatories,2.9857,0.000057,-0.000057,0,12.7,,,0,108.0622,6.3566,-6.3566,0,,,,,,,,,0,5442,17,-17,0,0.94,0.02,-0.02,0,0.79,0.07,-0.07,0,4.39,0.04,-0.04,0
HD 8535 b,HD 8535,2,1,Radial Velocity,2010,La Silla Observatory,1313,28,-28,0,14,,,0,216.1244,22.2481,-12.7132,0,,,,,,,,,0,6136,18,-18,0,1.19,0.04,-0.04,0,1.13,,,0,4.46,0.06,-0.06,0
HD 85390 b,HD 85390,1,1,Radial Velocity,2009,La Silla Observatory,799.52,2.41,-2.41,0,6.16,,,0,31.46517,3.1783,-3.1783,0,,,,,,,,,0,5186,,,0,0.8,0.01,-0.01,0,0.76,,,0,4.41,,,0
HD 85512 b,HD 85512,1,1,Radial Velocity,2011,La Silla Observatory,58.43,0.13,-0.13,0,1.72,,,0,3.6,0.5,-0.5,0,,,,,298,,,0,0,4300,45,-45,0,0.71,0.02,-0.02,0,0.43,0.1,-0.1,0,4.36,0.1,-0.1,0
HD 8574 b,HD 8574,1,1,Radial Velocity,2002,Haute-Provence Observatory,227,0.2,-0.2,0,13.4,,,0,645.1949,44.4962,-44.4962,0,,,,,,,,,0,6064,14,-14,0,1.38,0.02,-0.02,0,1.34,0.12,-0.12,0,4.28,0.04,-0.04,0
HD 86081 b,HD 86081,2,1,Radial Velocity,2006,W. M. Keck Observatory,2.1378431,0.0000031,-0.0000031,0,13.6,,,0,470.3884,73.1009,-73.1009,0,,,,,,,,,0,5939,,,0,1.46,0.14,-0.14,0,1.21,0.28,-0.28,0,4.18,0.03,-0.03,0
HD 86226 b,HD 86226,1,2,Radial Velocity,2009,Las Campanas Observatory,1628,22,-21,0,14.3,,,0,143.0235,12.7132,-15.8915,0,,,,,176,4,-4,0,0,5863,88,-88,0,1.05,0.03,-0.03,0,1.02,0.06,-0.07,0,4.4,0.03,-0.03,0
HD 86226 c,HD 86226,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),3.98442,0.00018,-0.00018,0,2.16,0.08,-0.08,0,7.25,1.19,-1.12,0,449.23,,,,1311,28,-28,0,0,5863,88,-88,0,1.05,0.03,-0.03,0,1.02,0.06,-0.07,0,4.4,0.03,-0.03,0
HD 86264 b,HD 86264,1,1,Radial Velocity,2009,Lick Observatory,1475,55,-55,0,12.7,,,0,2224.81,508.528,-508.528,0,,,,,,,,,0,6210,44,-44,0,1.88,0.12,-0.12,0,1.42,0.05,-0.05,0,4.02,0.1,-0.1,0
HD 8673 b,HD 8673,2,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,1634,17,-17,0,12.3,,,0,4513,508.507,-508.507,0,,,,,,,,,0,6389.05,157.03,-119.46,0,1.5,0.06,-0.08,0,1.28,0.25,-0.15,0,4.19,0.09,-0.09,0
HD 86950 b,HD 86950,1,1,Radial Velocity,2016,Multiple Observatories,1270,57,-57,0,13,,,0,1144.188,222.481,-222.481,0,,,,,,,,,0,4805,100,-100,0,8.8,0.6,-0.6,0,1.66,0.25,-0.25,0,2.66,0.15,-0.15,0
HD 87646 b,HD 87646,3,1,Radial Velocity,2016,Apache Point Observatory,13.481,0.001,-0.001,0,12.4,,,0,3941.092,222.481,-222.481,0,,,,,,,,,0,5770,80,-80,0,1.55,0.22,-0.22,0,1.12,0.09,-0.09,0,4.1,0.1,-0.1,0
HD 87883 b,HD 87883,1,1,Radial Velocity,2009,Lick Observatory,2754,87,-87,0,13.5,,,0,489.4582,82.6358,-82.6358,0,,,,,,,,,0,4915,73,-73,0,0.79,0.03,-0.03,0,0.66,0.09,-0.09,0,4.47,0.05,-0.05,0
HD 88133 b,HD 88133,1,1,Radial Velocity,2004,W. M. Keck Observatory,3.414884,0.00003,-0.00003,0,13.8,,,0,324.1866,193.8763,-88.9924,0,,,,,,,,,0,5392,,,0,2.2,,,0,1.26,,,0,3.88,,,0
HD 89307 b,HD 89307,1,1,Radial Velocity,2009,Lick Observatory,2166,38,-38,0,13.4,,,0,670.6213,66.7443,-66.7443,0,,,,,,,,,0,5955,14,-14,0,1.1,0.01,-0.01,0,1.27,0.12,-0.12,0,4.46,0.04,-0.04,0
HD 89345 b,HD 89345,1,1,Transit,2018,K2,11.8143,0.0002,-0.0002,0,7.398,0.314,-0.336,0,34.9613,5.40311,-5.72094,0,,,,,1089,15,-16,0,0,5576,73,-76,0,1.75,0.05,-0.05,0,1.16,0.04,-0.04,0,4.02,0.03,-0.03,0
HD 89744 b,HD 89744,2,1,Radial Velocity,1999,Fred Lawrence Whipple Observatory,256.78,0.02,-0.02,0,12.6,,,0,2653.8805,57.2094,-57.2094,0,,,,,,,,,0,6291,,,0,2.13,0.1,-0.11,0,1.86,,,0,4.07,,,0
HD 90156 b,HD 90156,1,1,Radial Velocity,2009,La Silla Observatory,49.77,0.07,-0.07,0,4.43,,,0,17.98,1.46,-1.46,0,,,,,,,,,0,5599,12,-12,0,0.92,0.02,-0.02,0,0.84,,,0,4.48,0.02,-0.02,0
HD 9174 b,HD 9174,1,1,Radial Velocity,2016,Multiple Observatories,1179,34,-34,0,13.7,,,0,352.7913,44.4962,-44.4962,0,,,,,,,,,0,5577,100,-100,0,1.67,0.07,-0.07,0,1.03,0.05,-0.05,0,4.03,0.05,-0.05,0
HD 92788 b,HD 92788,1,2,Radial Velocity,2000,Multiple Observatories,325.803,0.036525,-0.036525,0,13,,,0,1195.0408,50.8528,-47.6745,0,,,,,,,,,0,5744,24,-24,0,1.14,0.02,-0.02,0,1.15,0.07,-0.07,0,4.39,0.04,-0.04,0
HD 92788 c,HD 92788,1,2,Radial Velocity,2019,La Silla Observatory,11611.2975,5055.06,-905.82,0,13,,,0,1166.4361,95.349,-79.4575,0,,,,,,,,,0,5744,24,-24,0,1.14,0.02,-0.02,0,1.15,0.07,-0.07,0,4.39,0.04,-0.04,0
HD 92987 b,HD 92987,1,1,Radial Velocity,2019,La Silla Observatory,10354.8375,551.5275,-270.285,0,12.2,,,0,5364.9704,219.3027,-206.5895,0,,,,,,,,,0,5770,36,-36,0,1.58,0.04,-0.04,0,1.08,0.06,-0.06,0,4,0.15,-0.15,0
HD 93083 b,HD 93083,1,1,Radial Velocity,2005,La Silla Observatory,143.58,0.6,-0.6,0,13.4,,,0,117.59,,,0,,,,,,,,,0,4995,50,-50,0,0.85,0.02,-0.02,0,0.7,0.04,-0.04,0,4.26,0.19,-0.19,0
HD 9446 b,HD 9446,1,2,Radial Velocity,2009,Haute-Provence Observatory,30.052,0.027,-0.027,0,14,,,0,222.472,19.069,-19.069,0,,,,,,,,,0,5793,22,-22,0,1,,,0,1,0.1,-0.1,0,4.53,0.16,-0.16,0
HD 9446 c,HD 9446,1,2,Radial Velocity,2009,Haute-Provence Observatory,192.9,0.9,-0.9,0,13.4,,,0,578.426,54.0288,-54.0288,0,,,,,,,,,0,5793,22,-22,0,1,,,0,1,0.1,-0.1,0,4.53,0.16,-0.16,0
HD 94834 b,HD 94834,1,1,Radial Velocity,2018,W. M. Keck Observatory,1576,76,-76,0,13.7,,,0,400.4658,54.0311,-54.0311,0,,,,,,,,,0,4798,,,0,4.2,,,0,1.11,,,0,3.22,,,0
HD 95086 b,HD 95086,1,1,Imaging,2013,Paranal Observatory,,,,,12.9,,,0,1589,636,-636,0,,,,,1000,200,-200,0,0,7595,96.18,-156.92,0,1.49,0.06,-0.04,0,1.6,,,0,4.34,0.1,-0.06,0
HD 95089 b,HD 95089,1,2,Radial Velocity,2009,W. M. Keck Observatory,464.4,3.8,-3.8,0,13.7,,,0,400.4658,27.01555,-27.01555,0,,,,,,,,,0,4918,,,0,5.08,,,0,1.54,,,0,3.24,,,0
HD 95089 c,HD 95089,1,2,Radial Velocity,2018,W. M. Keck Observatory,1785,32,-32,0,13.1,,,0,1096.5135,44.4962,-44.4962,0,,,,,,,,,0,4918,,,0,5.08,,,0,1.54,,,0,3.24,,,0
HD 95127 b,HD 95127,1,1,Radial Velocity,2015,McDonald Observatory,482,5,-5,0,12.4,,,0,3378.5329,2561.7098,-2561.7098,0,,,,,,,,,0,4218,30,-30,0,41.01,18.22,-18.22,0,3.7,4.16,-4.16,0,1.78,0.3,-0.3,0
HD 95338 b,HD 95338,1,1,Radial Velocity,2020,Las Campanas Observatory,55.087,0.02,-0.02,0,3.89,0.19,-0.2,0,42.44,2.22,-2.08,0,7.42,0.22,-0.22,0,385,17,-17,0,0,5212,16,-11,0,0.87,0.04,-0.04,0,0.83,0.02,-0.02,0,4.54,0.21,-0.21,0
HD 95544 b,HD 95544,1,1,Radial Velocity,2021,Haute-Provence Observatory,2172,23,-21,0,12.7,,,0,2173.9463,98.52681,-98.52681,0,0.1,0.01,-0.01,0,156,5,-6,0,0,5722,15,-15,0,1.09,0.07,-0.07,0,1.09,0.07,-0.07,0,4.07,0.03,-0.03,0
HD 95735 c,GJ 411,1,2,Radial Velocity,2021,Multiple Observatories,3190,200,-170,0,4.44,,,0,18.05265,2.89224,-2.63798,0,,,,,,,,,0,3719.95,28.3,-28.3,0,0.37,0.01,-0.01,0,0.39,0.01,-0.01,0,4.9,0.01,-0.01,0
HD 95872 b,HD 95872,1,1,Radial Velocity,2015,Multiple Facilities,4375,170,-170,0,13,,,0,1188.6842,295.5819,-295.5819,0,,,,,,,,,0,5312,100,-100,0,0.84,0.04,-0.04,0,0.7,0.25,-0.25,0,4.43,0.15,-0.15,0
HD 96063 b,HD 96063,1,1,Radial Velocity,2011,W. M. Keck Observatory,362.5,2.2,-2.2,0,13.7,,,0,403.6441,85.8141,-85.8141,0,,,,,,,,,0,5020,,,0,4.75,,,0,1.37,,,0,3.33,,,0
HD 96127 b,HD 96127,1,1,Radial Velocity,2011,McDonald Observatory,647.29999,17,-17,0,12.1,,,0,6661.7168,4128.6117,-4128.6117,0,,,,,,,,,0,3943,23,-23,0,51.1,22.81,-22.81,0,10.94,10.02,-10.02,0,2.06,0.09,-0.09,0
HD 96167 b,HD 96167,2,1,Radial Velocity,2009,W. M. Keck Observatory,498.04,0.76,-0.76,0,14,,,0,227.88411,12.7132,-12.7132,0,,,,,,,,,0,5733,,,0,1.94,,,0,1.27,,,0,3.99,,,0
HD 96992 b,HD 96992,1,1,Radial Velocity,2021,Multiple Observatories,514,4,-4,0,13.7,,,0,362.3262,98.5273,-98.5273,0,,,,,,,,,0,4725,10,-10,0,7.43,1.1,-1.1,0,0.96,0.09,-0.09,0,2.76,0.04,-0.04,0
HD 97048 b,HD 97048,1,1,Disk Kinematics,2019,Atacama Large Millimeter Array (ALMA),,,,,13.3,,,0,794.575,158.915,-158.915,0,,,,,,,,,0,10000,,,0,2.25,,,0,2.4,,,0,4.14,0.07,-0.07,0
HD 97658 b,HD 97658,1,1,Radial Velocity,2010,W. M. Keck Observatory,9.4897116,0.0000008,-0.0000008,0,2.12,0.06,-0.06,0,8.3,1.1,-1.1,0,179.96,,,,751,12,-12,0,0,5212,43,-43,0,0.73,0.01,-0.01,0,0.85,0.08,-0.08,0,4.64,0.04,-0.04,0
HD 98219 b,HD 98219,1,1,Radial Velocity,2011,W. M. Keck Observatory,433.8,2,-2,0,13.4,,,0,624.21812,31.46517,-31.46517,0,,,,,,,,,0,4925,,,0,4.6,,,0,1.41,,,0,3.36,,,0
HD 98649 b,HD 98649,1,1,Radial Velocity,2012,La Silla Observatory,6022.9725,412.7325,-255.675,0,12.7,,,0,2158.0657,168.4499,-98.5273,0,,,,,,,,,0,5790,58,-58,0,1.01,0.02,-0.02,0,1.03,0.06,-0.06,0,4.51,0.09,-0.09,0
HD 98736 b,HD 98736,2,1,Radial Velocity,2018,W. M. Keck Observatory,968.8,2.2,-2.2,0,13.3,,,0,740.5439,247.9074,-247.9074,0,,,,,,,,,0,5271,,,0,0.93,0.04,-0.04,0,0.92,0.13,-0.13,0,4.47,0.08,-0.08,0
HD 99109 b,HD 99109,1,1,Radial Velocity,2005,W. M. Keck Observatory,439.29999,5.6,-5.6,0,14.3,,,0,139.8452,25.4264,-25.4264,0,,,,,,,,,0,5282,32,-32,0,0.98,0.02,-0.02,0,0.76,0.1,-0.1,0,4.34,0.05,-0.05,0
HD 99492 b,HD 99492,2,1,Radial Velocity,2004,W. M. Keck Observatory,17.0431,0.0047,-0.0047,0,5.02,,,0,22.2481,15.8915,-15.8915,0,,,,,,,,,0,4815,185,-185,0,0.83,0.07,-0.07,0,0.48,0.51,-0.51,0,4.28,0.46,-0.46,0
HD 99706 b,HD 99706,1,2,Radial Velocity,2011,W. M. Keck Observatory,841,32,-32,0,13.7,,,0,390.9309,60.3877,-60.3877,0,,,,,,,,,0,4862,,,0,5.52,,,0,1.46,,,0,3.09,,,0
HD 99706 c,HD 99706,1,2,Radial Velocity,2018,W. M. Keck Observatory,1278,151,-198,0,12.8,,,0,1808.4527,454.4969,-305.1168,0,,,,,,,,,0,4862,25,-25,0,5.4,0.1,-0.1,0,1.72,0.12,-0.12,0,3.2,0.06,-0.06,0
HIP 105854 b,HIP 105854,1,1,Radial Velocity,2014,Multiple Observatories,184.2,0.5,-0.5,0,12.6,,,0,2606.1,63.6,-63.6,0,,,,,,,,,0,4780,100,-100,0,10.31,0.55,-0.58,0,2.1,0.1,-0.1,0,2.94,0.2,-0.2,0
HIP 107772 b,HIP 107772,1,1,Radial Velocity,2020,Multiple Observatories,55.199,0.083,-0.083,0,3.64,,,0,12.9,3,-3,0,,,,,,,,,0,4006,98,-153.81,0,0.51,0.03,-0.05,0,0.63,0.08,-0.08,0,4.73,0.11,-0.13,0
HIP 107773 b,HIP 107773,1,1,Radial Velocity,2015,Multiple Observatories,144.3,0.5,-0.5,0,13.4,,,0,629.3034,66.7443,-66.7443,0,,,,,,,,,0,4945,100,-100,0,11.6,1.4,-1.4,0,2.42,0.27,-0.27,0,2.6,0.2,-0.2,0
HIP 109384 b,HIP 109384,1,1,Radial Velocity,2016,Haute-Provence Observatory,499.48,0.32,-0.32,0,13.5,,,0,495.8148,25.4264,-25.4264,0,,,,,,,,,0,5180,45,-45,0,0.83,0.02,-0.01,0,0.78,0.06,-0.06,0,4.43,0.1,-0.1,0
HIP 109600 b,HIP 109600,2,1,Radial Velocity,2016,Haute-Provence Observatory,232.08,0.15,-0.15,0,13.2,,,0,851.7844,38.1396,-38.1396,0,,,,,,,,,0,5530,35,-35,0,0.97,0.03,-0.03,0,0.87,0.06,-0.06,0,4.45,0.03,-0.03,0
HIP 114933 b,HIP 114933,1,1,Radial Velocity,2021,Multiple Observatories,1481.6,61.7,-61.7,0,13.4,,,0,616.58711,63.56568,-63.56568,0,,,,,,,,,0,4823,59,-59,0,5.27,0.05,-0.05,0,1.39,0.09,-0.09,0,2.99,0.12,-0.12,0
HIP 116454 b,HIP 116454,2,1,Transit,2014,K2,9.1205,0.0005,-0.0005,0,2.466,0.112,-0.112,0,12.7132,3.1783,-3.1783,0,,,,,690,14,-14,0,0,5089,50,-50,0,0.72,0.02,-0.02,0,0.81,0.11,-0.11,0,4.59,0.03,-0.03,0
HIP 12961 b,HIP 12961,1,1,Radial Velocity,2010,La Silla Observatory,57.435,0.042,-0.042,0,13.2,,,0,114.4188,22.2481,-22.2481,0,,,,,,,,,0,3901,175,-175,0,0.65,0.06,-0.06,0,0.69,0.19,-0.19,0,4.65,0.09,-0.09,0
HIP 14810 b,HIP 14810,1,3,Radial Velocity,2005,W. M. Keck Observatory,6.673892,0.000008,-0.000008,0,13,,,0,1239.537,155.7367,-155.7367,0,,,,,,,,,0,5544,,,0,1.07,0.08,-0.08,0,1.01,0.19,-0.19,0,4.32,0.01,-0.01,0
HIP 14810 c,HIP 14810,1,3,Radial Velocity,2006,W. M. Keck Observatory,147.747,0.029,-0.029,0,13.6,,,0,416.3573,57.2094,-57.2094,0,,,,,,,,,0,5544,,,0,1.07,0.08,-0.08,0,1.01,0.19,-0.19,0,4.22,0.06,-0.06,0
HIP 14810 d,HIP 14810,1,3,Radial Velocity,2009,W. M. Keck Observatory,981.8,6.9,-6.9,0,14.1,,,0,187.5197,31.783,-31.783,0,,,,,,,,,0,5544,,,0,1.07,0.08,-0.08,0,1.01,0.19,-0.19,0,4.22,0.06,-0.06,0
HIP 35173 b,HIP 35173,1,1,Radial Velocity,2019,Las Campanas Observatory,41.516,0.077,-0.077,0,3.61,,,0,12.7,2.7,-2.7,0,,,,,,,,,0,4881,55,-81,0,0.77,0.03,-0.02,0,0.79,0.05,-0.05,0,4.52,0.08,-0.1,0
HIP 38594 b,HIP 38594,1,2,Radial Velocity,2020,Multiple Observatories,60.722,0.122,-0.122,0,2.77,,,0,8.1,1.7,-1.7,0,,,,,,,,,0,4086.3,168.9,-97.3,0,0.63,0.02,-0.02,0,0.61,0.02,-0.02,0,4.63,0.01,-0.01,0
HIP 38594 c,HIP 38594,1,2,Radial Velocity,2020,Multiple Observatories,3477.768,229.001,-229.001,0,7.94,,,0,48.4,7.4,-7.4,0,,,,,,,,,0,4086.3,168.9,-97.3,0,0.63,0.02,-0.02,0,0.61,0.02,-0.02,0,4.63,0.01,-0.01,0
HIP 41378 b,HIP 41378,1,5,Transit,2016,K2,15.572098,0.000018,-0.000019,0,2.9,0.44,-0.44,0,8.75,,,0,,,,,,,,,0,6226,43,-43,0,1.34,0.03,-0.03,0,1.17,0.07,-0.07,0,4.18,0.1,-0.1,0
HIP 41378 c,HIP 41378,1,5,Transit,2016,K2,31.70648,0.00024,-0.00019,0,2.56,0.4,-0.4,0,7.08,,,0,,,,,,,,,1,6226,43,-43,0,1.34,0.03,-0.03,0,1.17,0.07,-0.07,0,4.18,0.1,-0.1,0
HIP 41378 d,HIP 41378,1,5,Transit,2016,K2,1114,,,1,3.96,0.59,-0.59,0,14.9,,,0,,,,,,,,,0,6226,43,-43,0,1.34,0.03,-0.03,0,1.17,0.07,-0.07,0,4.2,0.03,-0.03,0
HIP 41378 e,HIP 41378,1,5,Transit,2016,K2,131,61,-36,0,5.51,0.77,-0.77,0,26,,,0,,,,,,,,,0,6226,43,-43,0,1.34,0.03,-0.03,0,1.17,0.07,-0.07,0,4.18,0.1,-0.1,0
HIP 41378 f,HIP 41378,1,5,Transit,2016,K2,1084,,,1,10.2,1.4,-1.4,0,74,,,0,,,,,,,,,0,6226,43,-43,0,1.34,0.03,-0.03,0,1.17,0.07,-0.07,0,4.2,0.03,-0.03,0
HIP 4845 b,HIP 4845,1,1,Radial Velocity,2020,Multiple Observatories,34.15,0.046,-0.046,0,3.89,,,0,14.4,3,-3,0,,,,,,,,,0,4010,123.37,-134.13,0,0.6,0.03,-0.07,0,0.62,0.04,-0.04,0,4.62,0.1,-0.14,0
HIP 48714 b,HIP 48714,1,1,Radial Velocity,2020,Multiple Observatories,17.818,0.002,-0.002,0,5.11,,,0,22.9,2.8,-2.8,0,,,,,,,,,0,4015.5,166.5,-128.4,0,0.6,0.02,-0.02,0,0.58,0.02,-0.02,0,4.66,0.01,-0.01,0
HIP 5158 b,HIP 5158,1,2,Radial Velocity,2009,La Silla Observatory,345.72,5.37,-5.37,0,13.6,,,0,451,,,0,,,,,,,,,0,4962,89,-89,0,0.75,0.06,-0.06,0,0.78,0.02,-0.02,0,4.37,0.2,-0.2,0
