pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_logg,st_loggerr1,st_loggerr2,st_logglim
42 Dra b,42 Dra,2,1,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,479.1,6.2,-6.2,0,13,,,0,1233.13,270.14,-270.14,0,,,,,,,,,0,4200,70,-70,0,22.03,1,-1,0,0.98,0.05,-0.05,0,1.71,0.05,-0.05,0
47 UMa b,47 UMa,1,3,Radial Velocity,1996,Lick Observatory,1078,2,-2,0,13.2,,,0,804.08,22.25,-19.07,0,,,,,,,,,0,5872,92.94,-113.53,0,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,4.3,0.07,-0.07,0
47 UMa c,47 UMa,1,3,Radial Velocity,2001,Lick Observatory,2391,100,-87,0,14.2,,,0,171.621,20.976,-23.201,0,,,,,,,,,0,5872,92.94,-113.53,0,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,4.3,0.07,-0.07,0
47 UMa d,47 UMa,1,3,Radial Velocity,2009,Lick Observatory,14002,4018,-5095,0,13.5,,,0,521.22,92.17,-152.55,0,,,,,,,,,0,5872,92.94,-113.53,0,1.21,0.04,-0.06,0,1.06,0.13,-0.14,0,4.3,0.07,-0.07,0
51 Eri b,51 Eri,3,1,Imaging,2015,Gemini Observatory,11688,6209.25,-3287.25,0,13.4,,,0,635.66,,,0,,,,,700,,,0,0,7295,120.09,-98.99,0,1.49,0.05,-0.06,0,1.75,0.05,-0.05,0,4.31,0.09,-0.07,0
51 Peg b,51 Peg,1,1,Radial Velocity,1995,Haute-Provence Observatory,4.230785,0.000036,-0.000036,0,14.3,,,0,146.2018,19.0698,-3.1783,0,,,,,,,,,0,5758,101.62,-119.62,0,1.18,0.07,-0.04,0,1.03,0.17,-0.09,0,4.31,0.08,-0.06,0
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,14.6516,0.0001,-0.0001,0,13.9,,,0,263.9785,1.0488,-1.0488,0,,,,,700,,,0,0,5172,18,-18,0,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0,4.43,0.02,-0.02,0
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,44.3989,0.0042,-0.0043,0,8.51,,,0,54.4738,1.748,-1.748,0,,,,,,,,,0,5172,18,-18,0,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0,4.43,0.02,-0.02,0
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,5574.2,93.8,-88.6,0,13,,,0,1232.493,21.612,-21.612,0,,,,,,,,,0,5172,18,-18,0,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0,4.43,0.02,-0.02,0
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0.7365474,0.0000013,-0.0000014,0,1.875,0.029,-0.029,0,7.99,0.32,-0.33,0,,,,,1958,15,-15,0,0,5172,18,-18,0,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0,4.43,0.02,-0.02,0
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Multiple Observatories,259.88,0.29,-0.29,0,7.59,,,0,44.812,3.814,-3.814,0,,,,,,,,,0,5172,18,-18,0,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0,4.43,0.02,-0.02,0
6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,934.3,8.6,-8.6,0,13.4,,,0,638.8383,24.47291,-24.47291,0,,,,,,,,,0,4938,,,0,5.2,,,0,1.44,,,0,3.19,,,0
61 Vir b,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,4.215,0.0006,-0.0006,0,2.11,,,0,5.1,0.5,-0.5,0,,,,,,,,,0,5577,33,-33,0,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0,4.34,0.03,-0.03,0
61 Vir c,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,38.021,0.034,-0.034,0,4.46,,,0,18.2,1.1,-1.1,0,,,,,,,,,0,5577,33,-33,0,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0,4.34,0.03,-0.03,0
61 Vir d,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,123.01,0.55,-0.55,0,5.11,,,0,22.9,2.6,-2.6,0,,,,,,,,,0,5577,33,-33,0,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0,4.34,0.03,-0.03,0
7 CMa b,7 CMa,1,2,Radial Velocity,2011,Anglo-Australian Telescope,735.1,14.8,-1,0,13.4,,,0,587.9855,19.0698,-19.0698,0,,,,,,,,,0,4826,45,-55,0,4.87,0.17,-0.14,0,1.34,0.11,-0.12,0,3.19,0.06,-0.07,0
