pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,st_teff,st_mass,st_logg,sy_dist
HD 221585 b,1,1,Radial Velocity,2016,1173,13.5,511.7063,0.123,,5620,1.19,4.05,55.8535
HD 222076 b,1,1,Radial Velocity,2016,871,13.5,495.8148,0.08,,4806,1.07,3.31,91.1538
HD 222155 b,1,1,Radial Velocity,2011,3999,13.4,673.7996,0.16,,5701,1.21,3.99,50.6078
HD 222582 b,2,1,Radial Velocity,1999,572.38,12.6,2660.2371,0.73,,5790,1.12,4.38,42.1586
HD 224538 b,1,1,Radial Velocity,2016,1189.1,12.8,1897.4451,0.464,,6097,1.34,4.19,79.0608
HD 224693 b,1,1,Radial Velocity,2006,26.6904,14,222.481,0.104,,5894,1.31,4.38,93.5015
HD 22496 b,1,1,Radial Velocity,2021,5.09071,2.22,5.57,,573,4385,0.68,4.69,13.5956
HD 22781 b,1,1,Radial Velocity,2011,528.07,12.3,4338.2,0.8191,,5027,0.75,4.6,32.6034
HD 23079 b,1,1,Radial Velocity,2001,730.59998,13.2,829.5363,0.1,,5974,1.12,4.43,33.4591
HD 23127 b,1,1,Radial Velocity,2006,1211.17,13.5,485.32641,0.406,,5843,1.21,4.15,93.8555
HD 231701 b,1,1,Radial Velocity,2007,141.63,13.7,359.1479,0.13,,6101,1.21,4.31,108.877
HD 233604 b,1,1,Radial Velocity,2013,192,12.7,2089.644,0.05,,4791,1.5,2.55,847.058
HD 233832 b,2,1,Radial Velocity,2018,2058,13.5,565.7374,0.359,,4981,0.71,4.49,58.742
HD 23472 b,1,2,Transit,2019,17.667,1.872,17.92,0,500,4813,0.75,4.38,39.0341
HD 23472 c,1,2,Transit,2019,29.625,2.149,17.18,0,613,4813,0.75,4.38,39.0341
HD 23596 b,2,1,Radial Velocity,2003,1561,12.5,2870.0049,0.27,,6040,1.47,4.23,52.0018
HD 238090 b,1,1,Radial Velocity,2020,13.671,2.52,6.89,0.3,470,3933,0.58,4.7,15.2354
HD 238914 b,1,1,Radial Velocity,2018,4100,12.8,1906.98,0.56,,4769,1.47,2.37,519.452
HD 240210 b,1,1,Radial Velocity,2009,501.75,12.8,1655.82,0.15,,4297,0.82,2.31,372.405
HD 240237 b,1,1,Radial Velocity,2011,745.70001,12.2,5050.3187,0.4,,3926,8.76,1.67,933.377
HD 24040 b,1,2,Radial Velocity,2006,3668,13,1226.8238,0.04,,5802,1.11,4.26,46.6224
HD 24040 c,1,2,Radial Velocity,2021,515.4,9.35,63.88351,0.11,,5776.49,1.1,4.2,46.6224
HD 24064 b,1,1,Radial Velocity,2015,535.59998,12.3,4096.8287,0.35,,4052,1.61,1.44,300.247
HD 24085 b,1,1,Radial Velocity,2019,2.0455,3.46,11.8,0.22,,6034,1.22,4.2,54.9004
HD 25015 b,1,1,Radial Velocity,2019,6019.32,12.9,1423.8784,0.39,,5160,0.86,4.4,37.433
HD 25171 b,2,1,Radial Velocity,2010,1802.29,13.9,290.81445,0.042,,6125,1.08,4.26,55.6146
HD 25723 b,1,1,Radial Velocity,2020,457.01,13.3,794.57102,0.04,,4766,2.12,2.5,114.816
HD 26161 b,1,1,Radial Velocity,2021,32000,12.3,4290.68349,0.82,,6057.62,1.13,4.16,40.9128
HD 2638 b,3,1,Radial Velocity,2005,3.4442,14.3,133.4886,0,,5186,0.77,4.38,54.9621
HD 2685 b,1,1,Transit,2019,4.12688,16.141,371.8611,0.091,2061,6801,1.43,4.21,196.852
HD 26965 b,3,1,Radial Velocity,2018,42.378,2.84,8.47,0.04,,5072,0.78,4.45,5.03545
HD 27442 b,2,1,Radial Velocity,2000,428.1,13.5,495.8,0.06,,4846,1.23,3.78,18.2704
HD 27631 b,1,1,Radial Velocity,2012,2198.14,13.6,474.83802,0.141,,5737,0.94,4.46,50.2862
HD 27894 b,1,3,Radial Velocity,2005,18.02,14.1,211.35695,0.047,,4875,0.8,4.22,43.8214
HD 27894 c,1,3,Radial Velocity,2017,36.07,8.24,51.48846,0.015,,4894,0.8,4.49,43.8214
HD 27894 d,1,3,Radial Velocity,2017,5174,12.8,1721.04945,0.389,,4894,0.8,4.49,43.8214
HD 27969 b,1,1,Radial Velocity,2021,654.5,12.9,1525.57635,0.182,261,5966,1.16,4.12,67.9328
HD 28185 b,1,1,Radial Velocity,2001,379,12.8,1875.197,0.05,,5662,1.02,4.42,39.3809
HD 28254 b,2,1,Radial Velocity,2010,1116,13.7,368.67,0.81,,5664,1.06,4.12,55.2884
HD 285507 b,1,1,Radial Velocity,2013,6.0881,13.8,311.4734,0.09,,4503,0.82,4.67,45.0293
HD 285968 b,1,1,Radial Velocity,2008,8.7836,2.83,8.4,0,450,3703.49,0.5,4.75,9.47045
HD 28678 b,1,1,Radial Velocity,2011,380.2,13.5,490.09386,0.149,,4972,1.53,3.06,189.908
HD 29021 b,1,1,Radial Velocity,2017,1362.3,13.3,762.792,0.459,,5560,0.85,4.44,30.9939
HD 290327 b,1,1,Radial Velocity,2009,2443,13.3,772.3269,0.08,,5505,0.84,4.41,56.433
HD 29399 b,1,1,Radial Velocity,2020,892.7,13.5,498.9906,0.05,,4845,1.17,3.25,44.1518
HD 2952 b,1,1,Radial Velocity,2013,311.60001,13.6,435.4271,0.13,,4844,1.97,2.67,110.103
HD 30177 b,1,2,Radial Velocity,2002,2527.83,12.6,2740.33026,0.162,,5607,1.05,4.42,55.5867
HD 30177 c,1,2,Radial Velocity,2016,11613,12.6,2415.508,0.22,,5580,0.99,4.41,55.5867
HD 30562 b,1,1,Radial Velocity,2009,1157,13.7,387.7526,0.76,,5882,1.12,4.07,26.1597
HD 30669 b,1,1,Radial Velocity,2014,1684,14.3,149.37,0.18,,5400,0.92,4.37,58.0844
HD 30856 b,2,1,Radial Velocity,2011,847,13.5,491.68301,0.061,,4895,1.17,3.2,131.199
HD 31253 b,1,1,Radial Velocity,2010,466,14.1,197.0546,0.3,,6130,1.7,4.18,58.1438
HD 31527 b,1,3,Radial Velocity,2019,16.5535,3.22,10.47,0.1,,5898,0.96,4.45,38.4473
HD 31527 c,1,3,Radial Velocity,2019,51.2053,3.85,14.16,0.04,,5898,0.96,4.45,38.4473
HD 31527 d,1,3,Radial Velocity,2019,271.6737,3.46,11.82,0.24,,5898,0.96,4.45,38.4473
HD 3167 b,1,3,Transit,2016,0.959624,1.7,5.02,0,1669,5528,0.94,4.53,47.2899
HD 3167 c,1,3,Transit,2016,29.83832,2.86,9.8,0.05,531,5528,0.94,4.53,47.2899
HD 3167 d,1,3,Transit,2017,8.509,2.52,6.9,0.36,,5261,0.86,4.47,47.2899
HD 32518 b,1,1,Radial Velocity,2009,157.54,13.1,966.16,0.01,,4580,1.13,2.1,122.115
HD 32963 b,1,1,Radial Velocity,2015,2372,14,222.481,0.07,,5727,0.94,4.41,38.0786
HD 330075 b,1,1,Radial Velocity,2004,3.38773,14.3,152.5584,0,990,5000,0.47,4.26,45.2989
HD 331093 b,1,1,Radial Velocity,2021,621.62,13.6,476.74261,0.59,,5544,1.03,4.2,50.1928
HD 33142 b,1,2,Radial Velocity,2011,326,13.6,440.19455,0.066,,4978,1.41,3.4,121.375
HD 33142 c,1,2,Radial Velocity,2018,834,12.8,1897.4451,0.05,,5009,1.62,3.5,121.375
HD 332231 b,1,1,Transit,2020,18.71204,9.718,77.55052,0.032,876,6089,1.13,4.28,80.6665
HD 33283 b,2,1,Radial Velocity,2006,18.1991,12.5,104.56607,0.399,,5935,1.38,4.12,89.8623
HD 33564 b,1,1,Radial Velocity,2005,388,12.5,2892.1,0.34,,6250,1.25,4,20.9531
HD 33844 b,1,2,Radial Velocity,2015,551.40002,13.4,638.8383,0.15,,4861,1.84,3.24,105.779
HD 33844 c,1,2,Radial Velocity,2015,916,13.5,556.2025,0.13,,4861,1.78,3.24,105.779
HD 34445 b,1,6,Radial Velocity,2009,1049,13.9,260.6206,0.27,,5879,1.14,4.21,46.0907
HD 34445 c,1,6,Radial Velocity,2017,214.67,8.42,53.5,0.036,,5836,1.07,4.21,46.0907
HD 34445 d,1,6,Radial Velocity,2017,117.87,6.07,30.7,0.027,,5836,1.07,4.21,46.0907
HD 34445 e,1,6,Radial Velocity,2017,49.175,4.26,16.8,0.09,,5836,1.07,4.21,46.0907
HD 34445 f,1,6,Radial Velocity,2017,676.8,6.88,37.9,0.031,,5836,1.07,4.21,46.0907
HD 34445 g,1,6,Radial Velocity,2017,5700,13.6,120.6,0.032,,5836,1.07,4.21,46.0907
HD 35759 b,1,1,Radial Velocity,2016,82.467,13,1195.0408,0.389,,6060,1.15,4.24,71.2423
HD 3651 b,1,1,Radial Velocity,2003,62.25,10.1,72.46524,0.645,,5221,0.8,4.45,11.1336
HD 37124 b,1,3,Radial Velocity,2002,154.378,14,214.53525,0.054,,5698.64,0.85,4.39,31.6634
HD 37124 c,1,3,Radial Velocity,2002,885.5,14.1,207.22516,0.125,,5698.64,0.85,4.39,31.6634
HD 37124 d,1,3,Radial Velocity,2005,1862,14,221.20968,0.16,,5698.64,0.85,4.39,31.6634
HD 37605 b,1,2,Radial Velocity,2004,55.01292,13.2,854.9627,0.6745,,5329,0.94,4.51,46.7864
HD 37605 c,1,2,Radial Velocity,2012,2720,13.1,1013.8777,0.03,,5329,0.94,4.51,46.7864
HD 3765 b,1,1,Radial Velocity,2021,1211,8.56,54.98431,0.298,,5049.8,0.85,4.53,17.926
HD 38283 b,1,1,Radial Velocity,2010,363.20001,14,127.132,0.41,,5981,1.37,4.23,38.0615
HD 38529 b,2,2,Radial Velocity,2000,14.30944,13.9,253.31051,0.28,,5541,1.41,3.77,42.3538
HD 38529 c,2,2,Radial Velocity,2000,2136.1,12.3,4128.6117,0.3407,,5541,1.41,3.77,42.3538
HD 38801 b,1,1,Radial Velocity,2009,685.25,12.5,3082.31534,0.017,,5338,1.21,3.88,91.4349
HD 39091 b,1,2,Radial Velocity,2001,2093.07,12.3,4099.98645,0.637,,6037,1.09,4.42,18.2702
HD 39194 b,1,3,Radial Velocity,2021,5.6368,1.83,4,0.207,,5205,0.67,4.53,26.4131
HD 39194 c,1,3,Radial Velocity,2021,14.03,2.39,6.3,0.154,,5205,0.67,4.53,26.4131
HD 39194 d,1,3,Radial Velocity,2021,33.91,1.83,4,0.333,,5205,0.67,4.53,26.4131
HD 39855 b,1,1,Radial Velocity,2019,3.2498,2.85,8.5,0.14,,5576,0.87,4.66,23.2599
HD 40307 b,1,5,Radial Velocity,2009,4.3123,1.83,4,0.2,910,4956,0.77,4.47,12.9363
HD 40307 c,1,5,Radial Velocity,2009,9.6184,2.46,6.6,0.06,696,4956,0.77,4.47,12.9363
HD 40307 d,1,5,Radial Velocity,2009,20.432,3.04,9.5,0.07,541,4956,0.77,4.47,12.9363
HD 40307 f,1,5,Radial Velocity,2013,51.76,2.13,5.2,0.02,398,4956,0.77,4.47,12.9363
HD 40307 g,1,5,Radial Velocity,2013,197.8,2.56,7.1,0.29,255,4956,0.77,4.47,12.9363
HD 40956 b,1,1,Radial Velocity,2017,578.6,13.2,858.141,0.24,,4869,2,3.02,116.593
HD 40979 b,3,1,Radial Velocity,2002,264.14999,12.9,1484.2661,0.25,,6165,1.45,4.43,34.0883
HD 41004 A b,2,2,Radial Velocity,2004,963,13.2,807.25,0.74,,5310,0.95,4.37,36.69117
HD 41004 B b,2,2,Radial Velocity,2003,1.3283,12.1,5838.29,0.081,,5036,0.4,4.33,41.5504
HD 4113 b,3,1,Radial Velocity,2007,526.62,13.5,495.79,0.903,,5688,0.99,4.4,41.8727
HD 42012 b,1,1,Radial Velocity,2017,857.5,13.5,508.528,0.2,,5405,0.83,4.45,36.7984
HD 4203 b,1,2,Radial Velocity,2001,431.88,13.3,708.7609,0.52,,5596,1.25,4.23,81.3795
HD 4203 c,1,2,Radial Velocity,2014,6700,13.3,689.66,0.24,,5582,0.99,4.08,81.3795
HD 4208 b,1,1,Radial Velocity,2001,832.97,13.9,257.4423,0.042,,5717,0.88,4.5,34.1937
HD 42618 b,1,1,Radial Velocity,2016,149.61,3.89,14.4,0.19,337,5727,1.01,4.44,24.3358
HD 4308 b,1,1,Radial Velocity,2005,15.56,4.12,15.8915,0,,5686,0.93,4.39,22.0158
HD 4313 b,1,1,Radial Velocity,2009,356.21,13.4,612.45841,0.147,,4943,1.63,3.24,136.308
HD 43197 b,1,1,Radial Velocity,2010,327.8,14.1,190.69,0.83,,5508,0.96,4.31,62.4112
HD 43691 b,3,1,Radial Velocity,2007,36.9987,13.2,810.4665,0.0796,,6093,1.32,4.28,85.6009
HD 44219 b,1,1,Radial Velocity,2010,472.3,14.1,184.33,0.61,,5752,1,4.21,52.9051
HD 45184 b,1,2,Radial Velocity,2019,5.8854,3.52,12.19,0.07,,5869,1.03,4.47,21.9532
HD 45184 c,1,2,Radial Velocity,2019,13.1354,2.91,8.81,0.07,,5869,1.03,4.47,21.9532
HD 45350 b,1,1,Radial Velocity,2004,963.6,13.5,568.89,0.778,,5566,0.98,4.23,46.8733
HD 45364 b,1,2,Radial Velocity,2008,226.93,8.97,59.4953,0.1684,,5434,0.82,4.38,34.354
HD 45364 c,1,2,Radial Velocity,2008,342.85,14.1,209.0915,0.0974,,5434,0.82,4.38,34.354
HD 45652 b,1,1,Radial Velocity,2008,44.073,14.3,137.62039,0.607,,5294,0.92,4.2,34.8541
HD 46375 b,2,1,Radial Velocity,2000,3.023573,10,71.8,0.063,,5285,0.92,4.53,29.5529
HD 47186 b,1,2,Radial Velocity,2008,4.0845,5.02,22.2481,0.04,,5657,0.96,4.36,37.4574
HD 47186 c,1,2,Radial Velocity,2008,1353.6,13,111.42,0.249,,5657,0.96,4.36,37.4574
HD 4732 b,2,2,Radial Velocity,2012,360.2,13.3,753.23,0.13,,4959,1.74,3.16,54.7841
HD 4732 c,2,2,Radial Velocity,2012,2732,13.3,753.23,0.23,,4959,1.74,3.16,54.7841
HD 47366 b,1,2,Radial Velocity,2016,359.15,13.3,731.009,0.06,,4914,2.19,3.1,84.3552
HD 47366 c,1,2,Radial Velocity,2016,682.85,13.4,597.5204,0.1,,4914,2.19,3.1,84.3552
HD 47536 b,1,1,Radial Velocity,2002,712.13,12.6,2330,0.2,,4380,2.1,2.13,122.536
HD 4760 b,1,1,Radial Velocity,2021,434,12.3,4417.837,0.23,,4076,1.05,1.62,537.873
HD 48265 b,1,1,Radial Velocity,2008,778.51,13.5,484.69075,0.211,,5733,1.31,3.97,90.5446
HD 4917 b,1,1,Radial Velocity,2018,400.5,13.5,513.29545,0.066,,4802,1.32,2.97,204.277
HD 49674 b,1,1,Radial Velocity,2002,4.94737,6.2,31.783,0.09,,5602,1.03,4.44,43.0399
HD 50499 b,1,2,Radial Velocity,2005,2447.1,13.5,519.96988,0.266,,6102,1.25,4.25,46.2845
HD 50499 c,1,2,Radial Velocity,2019,8619.9,13.2,931.2419,0,,6099,1.31,4.42,46.2845
HD 50554 b,1,1,Radial Velocity,2002,1293,12.9,1574.464,0.501,,5987,1.04,4.33,31.1664
HD 51608 b,1,2,Radial Velocity,2019,14.0726,3.62,12.77,0.09,,5358,0.8,4.36,35.0553
HD 51608 c,1,2,Radial Velocity,2019,95.9446,3.87,14.31,0.14,,5358,0.8,4.36,35.0553
HD 52265 b,1,1,Radial Velocity,2000,119.27,13.7,384.5743,0.27,405,6136,1.2,4.36,29.9803
HD 5278 b,1,2,Transit,2021,14.339156,2.45,7.8,0.08,943,6203,1.13,4.5,57.5846
HD 5278 c,1,2,Radial Velocity,2021,40.87,4.49,18.4,0.07,,6203,1.13,4.5,57.5846
HD 5319 b,1,2,Radial Velocity,2007,637.1,13.5,494.54348,0.092,,4871,1.27,3.26,121.405
HD 5319 c,1,2,Radial Velocity,2014,872.2,13.8,334.67499,0.183,,4871,1.27,3.26,121.405
HD 55696 b,1,1,Radial Velocity,2018,1827,13,1230.0021,0.705,,6012,1.29,4.03,77.9693
HD 5583 b,1,1,Radial Velocity,2016,139.35,12.8,1837.0574,0.076,,4830,1.01,2.53,219.216
HD 5608 b,1,1,Radial Velocity,2012,779.9,13.5,534.27223,0.056,,4877,1.53,3.19,58.1105
HD 564 b,1,1,Radial Velocity,2014,492.3,12.5,104.88,0.096,,5902,0.96,4.53,51.1659
HD 5891 b,1,1,Radial Velocity,2011,177.11,12.6,2425.0429,0.07,,4673,1.93,2.67,283.502
HD 59686 A b,2,1,Radial Velocity,2016,299.36,12.7,2199.3836,0.05,,4658,1.9,2.49,89.2721
HD 60292 b,1,1,Radial Velocity,2020,495.4,12.7,2065.895,0.27,,4348,1.7,1.9,315.211
HD 60532 b,1,2,Radial Velocity,2008,201.9,13.8,336.8998,0.26,,6245,1.5,3.8,25.9716
HD 60532 c,1,2,Radial Velocity,2008,600.1,13.3,797.7533,0.03,,6245,1.5,3.8,25.9716
HD 62509 b,1,1,Radial Velocity,2006,589.64,13.3,731,0.02,,4892.63,2,2.78,10.34
HD 63433 b,1,2,Transit,2020,7.10793,2.15,5.27,0,886,5640,0.99,4.53,22.4035
HD 63433 c,1,2,Transit,2020,20.5453,2.67,7.61,0,622,5640,0.99,4.53,22.4035
HD 63454 b,1,1,Radial Velocity,2005,2.81805,12.31,79.4575,0,,4812,0.42,4.28,37.6894
HD 63765 b,1,1,Radial Velocity,2009,358,14.2,168.4499,0.24,,5449,0.65,4.41,32.5376
HD 63935 b,1,2,Transit,2021,9.058811,2.99,10.8,0,911,5534,0.93,4.38,48.9739
HD 63935 c,1,2,Radial Velocity,2021,21.4023,2.9,11.1,0,684,5534,0.93,4.38,48.9739
HD 64114 b,1,1,Radial Velocity,2019,45.791,4.41,17.8,0.12,,5676,0.95,4.52,31.5262
HD 6434 b,1,1,Radial Velocity,2003,21.998,14.2,155.7367,0.17,,5769,1.1,4.38,42.358
HD 65216 b,3,2,Radial Velocity,2003,577.6,13.6,411.58985,0.27,,5612,0.87,4.44,35.1205
HD 65216 c,3,2,Radial Velocity,2013,5370,13.4,645.1949,0.17,,5612,0.87,4.44,35.1205
HD 66141 b,1,1,Radial Velocity,2012,480.5,12.8,1906.9,0.07,,4323,1.1,1.78,68.1509
HD 66428 b,1,2,Radial Velocity,2005,2263.12,13.1,1018.32732,0.493,,5773,1.08,4.36,53.2817
HD 66428 c,1,2,Radial Velocity,2021,39000,11.9,8581.36699,0.32,,5647.6,1.05,4.32,53.2817
HD 67087 b,1,2,Radial Velocity,2015,352.2,13.1,973,0.17,,6330,1.36,4.19,76.5217
HD 67087 c,1,2,Radial Velocity,2015,2374,12.9,1540,0.76,,6330,1.36,4.19,76.5217
HD 6718 b,1,1,Radial Velocity,2009,2496,13.5,533.9544,0.1,,5801,1.08,4.51,51.3444
HD 68402 b,1,1,Radial Velocity,2016,1103,13.1,975.7381,0.03,,5950,1.12,4.47,78.4293
HD 68988 b,1,2,Radial Velocity,2001,6.27711,13.4,626.1251,0.12,,5932,1.28,4.4,60.8447
HD 68988 c,1,2,Radial Velocity,2021,16000,12.3,4767.4261,0.45,,5883.41,1.17,4.31,60.8447
HD 69830 b,1,3,Radial Velocity,2006,8.667,3.17,10.2,0.1,,5385,0.86,4.49,12.5591
HD 69830 c,1,3,Radial Velocity,2006,31.56,3.46,11.8,0.13,,5385,0.86,4.49,12.5591
HD 69830 d,1,3,Radial Velocity,2006,197,4.45,18.1,0.07,,5385,0.86,4.49,12.5591
HD 70573 b,1,1,Radial Velocity,2007,851.8,12.8,1900,0.4,,5737,1,4.59,59.182
HD 70642 b,1,1,Radial Velocity,2003,2124.54,13.4,633.43519,0.175,,5732,1.08,4.46,29.276
HD 7199 b,1,1,Radial Velocity,2011,615,11.1,85.8141,0.19,,5371,0.77,4.35,36.1531
HD 72490 b,1,1,Transit,2018,858,13.5,561.92344,0.124,,4934,1.21,3.21,126.339
HD 72659 b,1,1,Radial Velocity,2002,3658,13,1223.6455,0.22,,5932,1.43,4.27,51.8949
HD 72892 b,1,1,Radial Velocity,2016,39.475,12.8,1732.1735,0.423,,5688,1.02,4.27,69.7311
HD 73267 b,1,1,Radial Velocity,2008,1245.36,13.1,984.31951,0.23,,5387,0.9,4.45,50.4093
HD 73526 b,1,2,Radial Velocity,2002,188.3,13.1,978.9164,0.19,,5601,1.14,4.12,97.2396
HD 73526 c,1,2,Radial Velocity,2005,379.1,13.3,715.09,0.28,,5633,1.01,4.2,97.2396
HD 73534 b,1,1,Radial Velocity,2008,1750,13.7,353.42696,0.126,,4917,1.16,3.6,83.3321
HD 74156 b,1,2,Radial Velocity,2003,51.645,13.4,572.07,0.627,,6068,1.24,4.14,57.603
HD 74156 c,1,2,Radial Velocity,2003,2473,12.6,2561.6,0.432,,6068,1.24,4.14,57.603
HD 7449 b,2,1,Radial Velocity,2011,1255.5,14.2,161.45764,0.92,,6024,1.05,4.51,38.662
HD 75289 b,2,1,Radial Velocity,1999,3.50927,14.2,155.7367,0.03,1260,6117,1.29,4.37,29.1158
HD 75784 b,1,2,Radial Velocity,2014,341.2,13.8,317.83,0.097,,4867,1.26,3.46,85.4321
HD 75784 c,1,2,Radial Velocity,2018,7900,12.8,1792.5612,0.489,,4867,1.26,3.46,85.4321
HD 75898 b,1,1,Radial Velocity,2007,422.9,13.2,861.3193,0.11,,5963,1.26,4.21,78.0505
HD 76700 b,1,1,Radial Velocity,2002,3.97097,9.6,66.7443,0.09,,5644,0.99,4.16,60.8831
HD 76920 b,1,1,Radial Velocity,2017,415.4,13,1249.0719,0.856,,4698,1.17,2.94,184.031
HD 77338 b,1,1,Radial Velocity,2012,5.7361,4.12,15.9,0.09,,5341,1.37,4.6,45.935
HD 7924 b,1,3,Radial Velocity,2008,5.39792,2.4,6.3566,0.06,826,5131,0.65,4.46,16.9922
HD 7924 c,1,3,Radial Velocity,2015,15.299,2.72,7.86,0.098,584,5075,0.83,4.59,16.9922
HD 7924 d,1,3,Radial Velocity,2015,24.451,2.42,6.44,0.21,499,5075,0.83,4.59,16.9922
HD 79498 b,2,1,Radial Velocity,2011,1807,13.6,425.8922,0.575,,5748,1.08,4.37,48.9489
HD 80606 b,2,1,Radial Velocity,2001,111.4367,11.994,1392.0954,0.93,405,5561,1.15,4.42,66.4711
HD 80653 b,1,1,Transit,2020,0.719573,1.613,5.6,,,6080,1.18,4.34,109.86
HD 80869 b,1,1,Radial Velocity,2021,1711.7,12.9,1544.64606,0.862,203,5837,1.08,4.18,85.3951
HD 81040 b,1,1,Radial Velocity,2005,1001.70001,12.6,2310.6241,0.53,,5755,1.05,4.54,34.4341
HD 81688 b,1,1,Radial Velocity,2007,184.02,13.2,858.1,0,,4753,2.1,2.22,85.7183
HD 81817 b,1,1,Radial Velocity,2020,1047.1,11.9,8613.193,0.17,,4140,4.3,1.3,269.126
HD 82886 b,1,1,Radial Velocity,2011,705,13.3,740.5439,0.07,,4953,2.53,3.4,127.061
HD 82943 b,1,2,Radial Velocity,2003,441.47,13.5,534.25,0.162,,5935,1.08,4.33,27.5902
HD 82943 c,1,2,Radial Velocity,2003,220.078,13.4,622.603,0.3663,,5935,1.08,4.33,27.5902
HD 8326 b,1,1,Radial Velocity,2019,158.991,9.58,66.6,0.2,,4914,0.8,4.55,30.6862
HD 83443 b,1,1,Radial Velocity,2002,2.9857,12.7,108.0622,0.01,,5442,0.79,4.39,40.8991
HD 8535 b,2,1,Radial Velocity,2010,1313,14,216.1244,0.15,,6136,1.13,4.46,55.4401
HD 85390 b,1,1,Radial Velocity,2009,799.52,6.16,31.46517,0.5,,5186,0.76,4.41,33.5225
HD 85512 b,1,1,Radial Velocity,2011,58.43,1.72,3.6,0.11,298,4300,0.43,4.36,11.281
HD 8574 b,1,1,Radial Velocity,2002,227,13.4,645.1949,0.3,,6064,1.34,4.28,44.8264
HD 86081 b,2,1,Radial Velocity,2006,2.1378431,13.6,470.3884,0.0119,,5939,1.21,4.18,103.936
HD 86226 b,1,2,Radial Velocity,2009,1628,14.3,143.0235,0.059,176,5863,1.02,4.4,45.683
HD 86226 c,1,2,Transit,2020,3.98442,2.16,7.25,0.075,1311,5863,1.02,4.4,45.683
HD 86264 b,1,1,Radial Velocity,2009,1475,12.7,2224.81,0.7,,6210,1.42,4.02,67.8107
HD 8673 b,2,1,Radial Velocity,2009,1634,12.3,4513,0.723,,6389.05,1.28,4.19,37.8619
HD 86950 b,1,1,Radial Velocity,2016,1270,13,1144.188,0.17,,4805,1.66,2.66,209.839
HD 87646 b,3,1,Radial Velocity,2016,13.481,12.4,3941.092,0.05,,5770,1.12,4.1,73.58352
HD 87883 b,1,1,Radial Velocity,2009,2754,13.5,489.4582,0.53,,4915,0.66,4.47,18.2912
HD 88133 b,1,1,Radial Velocity,2004,3.414884,13.8,324.1866,0.031,,5392,1.26,3.88,73.6123
HD 89307 b,1,1,Radial Velocity,2009,2166,13.4,670.6213,0.2,,5955,1.27,4.46,32.0104
HD 89345 b,1,1,Transit,2018,11.8143,7.398,34.9613,0.22,1089,5576,1.16,4.02,132.345
HD 89744 b,2,1,Radial Velocity,1999,256.78,12.6,2653.8805,0.677,,6291,1.86,4.07,38.6364
HD 90156 b,1,1,Radial Velocity,2009,49.77,4.43,17.98,0.31,,5599,0.84,4.48,21.9496
HD 9174 b,1,1,Radial Velocity,2016,1179,13.7,352.7913,0.12,,5577,1.03,4.03,81.4893
HD 92788 b,1,2,Radial Velocity,2000,325.803,13,1195.0408,0.35,,5744,1.15,4.39,34.6538
HD 92788 c,1,2,Radial Velocity,2019,11611.2975,13,1166.4361,0.46,,5744,1.15,4.39,34.6538
HD 92987 b,1,1,Radial Velocity,2019,10354.8375,12.2,5364.9704,0.21,,5770,1.08,4,43.5339
HD 93083 b,1,1,Radial Velocity,2005,143.58,13.4,117.59,0.14,,4995,0.7,4.26,28.5159
HD 93385 b,1,3,Radial Velocity,2021,7.3426,1.88,4.2,0.295,,5977,1.04,4.42,43.3475
HD 93385 c,1,3,Radial Velocity,2021,13.18,2.56,7.1,0.2,,5977,1.04,4.42,43.3475
HD 93385 d,1,3,Radial Velocity,2021,45.85,2.89,8.7,0.09,,5977,1.04,4.42,43.3475
HD 9446 b,1,2,Radial Velocity,2009,30.052,14,222.472,0.2,,5793,1,4.53,50.3503
HD 9446 c,1,2,Radial Velocity,2009,192.9,13.4,578.426,0.06,,5793,1,4.53,50.3503
HD 94834 b,1,1,Radial Velocity,2018,1576,13.7,400.4658,0.14,,4798,1.11,3.22,98.1609
HD 95086 b,1,1,Imaging,2013,,12.9,1589,,1000,7595,1.6,4.34,86.2279
HD 95089 b,1,2,Radial Velocity,2009,464.4,13.7,400.4658,0.119,,4918,1.54,3.24,136.957
HD 95089 c,1,2,Radial Velocity,2018,1785,13.1,1096.5135,0.284,,4918,1.54,3.24,136.957
HD 95127 b,1,1,Radial Velocity,2015,482,12.4,3378.5329,0.11,,4218,3.7,1.78,676.579
HD 95338 b,1,1,Radial Velocity,2020,55.087,3.89,42.44,0.197,385,5212,0.83,4.54,36.9941
HD 95544 b,1,1,Radial Velocity,2021,2172,12.7,2173.9463,0.043,156,5722,1.09,4.07,87.8049
HD 95735 c,1,2,Radial Velocity,2021,3190,4.44,18.05265,0.14,,3719.95,0.39,4.9,5.675773
HD 95872 b,1,1,Radial Velocity,2015,4375,13,1188.6842,0.06,,5312,0.7,4.43,72.2195
HD 96063 b,1,1,Radial Velocity,2011,362.5,13.7,403.6441,0.17,,5020,1.37,3.33,140.065
HD 96127 b,1,1,Radial Velocity,2011,647.29999,12.1,6661.7168,0.3,,3943,10.94,2.06,587.659
HD 96167 b,2,1,Radial Velocity,2009,498.04,14,227.88411,0.685,,5733,1.27,3.99,85.3006
HD 96700 b,1,3,Radial Velocity,2021,8.1245,2.93,8.9,0.138,,5845,0.89,4.39,25.4111
