pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,st_teff,st_mass,st_logg,sy_dist
BD+48 738 b,1,1,Radial Velocity,2011,392.6,13.9,289.2253,0.2,,4414,0.74,2.24,871.493
BD+48 740 b,1,1,Radial Velocity,2018,733,13.5,540.311,0.76,,4534,1.09,2.48,666.589
BD+49 828 b,1,1,Radial Velocity,2015,2590,13.5,508.5,0.35,,4943,1.52,2.85,442.042
BD+55 362 b,1,1,Radial Velocity,2021,265.59,14,228.83645,0.27,,5012,0.91,4.09,52.5697
BD+63 1405 b,1,1,Radial Velocity,2021,1198.48,13,1258.60049,0.88,,5000,0.82,4.2,38.0473
BD-00 4475 b,1,1,Radial Velocity,2021,723.2,12,7961.6016,0.39,,5040,0.81,4.25,42.6402
BD-06 1339 b,1,2,Radial Velocity,2013,3.8728,2.85,8.5,0,,4324,0.7,4.74,20.2695
BD-06 1339 c,1,2,Radial Velocity,2013,125.94,8.38,53,0.31,,4324,0.7,4.74,20.2695
BD-08 2823 b,1,2,Radial Velocity,2009,5.6,3.61,12.7132,0.15,,4816,0.5,4.43,41.3342
BD-08 2823 c,1,2,Radial Velocity,2009,237.6,12.5,104,0.19,,4746,0.74,4.13,41.3342
BD-10 3166 b,1,1,Radial Velocity,2000,3.48777,14.1,187.5197,0.02,,5393,1.47,4.69,84.4069
BD-11 4672 b,1,2,Radial Velocity,2014,1634,14.1,206.5895,0.05,,4550,0.65,4.64,27.1665
BD-11 4672 c,1,2,Radial Velocity,2020,74.2,4.04,15.37,0.4,,4550,0.65,4.64,27.1665
BD-13 2130 b,1,1,Radial Velocity,2007,714.29999,12.5,3108.3774,0.21,,4545,2.12,2.2,925.214
BD-17 63 b,1,1,Radial Velocity,2008,655.6,12.8,1620.9,0.54,,4714,0.74,4.26,34.4603
CD Cet b,1,1,Radial Velocity,2020,2.2907,1.82,3.95,,464,3130,0.16,4.93,8.60715
CFBDSIR J145829+101343 b,1,1,Imaging,2011,10037.5,12.4,3337.1,,370,580.5,0.02,4.72,23.1
CFHTWIR-Oph 98 b,1,1,Imaging,2021,8040000,20.849,2479.06157,,1800,2320,0.01,3.85,
CHXR 73 b,1,1,Imaging,2006,,12.3,3994.486,,,3099,0.35,,190.374
CI Tau b,1,1,Radial Velocity,2019,8.9891,12.4,3686.828,0.25,,3807,0.9,,157.998
COCONUTS-2 b,1,1,Imaging,2021,402000000,12.442,2002.31896,,434,3406,0.37,4.83,10.8864
CT Cha b,1,1,Imaging,2007,,24.66,5403,,2600,4403,,3.66,190.72
CoRoT-1 b,1,1,Transit,2008,1.5089557,16.7,327.35,0,1898,5950,0.95,4.25,787.909
CoRoT-10 b,1,1,Transit,2010,13.2406,10.87,874,0.53,600,5075,0.89,4.65,338.386
CoRoT-11 b,1,1,Transit,2010,2.99433,16.03,740.51,0,1657,6440,1.27,4.22,655.037
CoRoT-12 b,1,1,Transit,2010,2.828042,16.14,291.438,0.07,1442,5675,1.08,4.38,1126.37
CoRoT-13 b,1,1,Transit,2010,4.03519,9.92,415.704,0,1700,5945,1.09,4.46,1148.93
CoRoT-14 b,1,1,Transit,2010,1.51214,12.22,2415.4,0,1952,6035,1.13,4.35,1744.6
